#weight	proba	cum	Pval	ln_Pval	log_P	sig
-46.6	NA	0.0e+00	1.0e+00	0.000	0	0.000
-46.5	1.8e-10	1.8e-10	1.0e+00	0.000	0	0.000
-46.4	NA	1.8e-10	1.0e+00	-0.000	0	0.000
-46.3	1.9e-10	3.7e-10	1.0e+00	-0.000	0	0.000
-46.2	1.7e-10	5.4e-10	1.0e+00	-0.000	0	0.000
-46.1	9.8e-11	6.4e-10	1.0e+00	-0.000	0	0.000
-46.0	4.8e-10	1.1e-09	1.0e+00	-0.000	0	0.000
-45.9	2.8e-10	1.4e-09	1.0e+00	-0.000	0	0.000
-45.8	7.1e-10	2.1e-09	1.0e+00	-0.000	0	0.000
-45.7	7.5e-10	2.9e-09	1.0e+00	-0.000	0	0.000
-45.6	8.8e-10	3.7e-09	1.0e+00	-0.000	0	0.000
-45.5	1.6e-09	5.4e-09	1.0e+00	-0.000	0	0.000
-45.4	9.9e-10	6.4e-09	1.0e+00	-0.000	0	0.000
-45.3	2.2e-09	8.6e-09	1.0e+00	-0.000	0	0.000
-45.2	2.2e-09	1.1e-08	1.0e+00	-0.000	0	0.000
-45.1	2.7e-09	1.3e-08	1.0e+00	-0.000	0	0.000
-45.0	4.1e-09	1.8e-08	1.0e+00	-0.000	0	0.000
-44.9	4.1e-09	2.2e-08	1.0e+00	-0.000	0	0.000
-44.8	6.0e-09	2.8e-08	1.0e+00	-0.000	0	0.000
-44.7	6.1e-09	3.4e-08	1.0e+00	-0.000	0	0.000
-44.6	8.0e-09	4.2e-08	1.0e+00	-0.000	0	0.000
-44.5	9.1e-09	5.1e-08	1.0e+00	-0.000	0	0.000
-44.4	1.2e-08	6.3e-08	1.0e+00	-0.000	0	0.000
-44.3	1.4e-08	7.6e-08	1.0e+00	-0.000	0	0.000
-44.2	1.6e-08	9.3e-08	1.0e+00	-0.000	0	0.000
-44.1	2.1e-08	1.1e-07	1.0e+00	-0.000	0	0.000
-44.0	2.2e-08	1.4e-07	1.0e+00	-0.000	0	0.000
-43.9	2.9e-08	1.6e-07	1.0e+00	-0.000	0	0.000
-43.8	3.1e-08	1.9e-07	1.0e+00	-0.000	0	0.000
-43.7	3.8e-08	2.3e-07	1.0e+00	-0.000	0	0.000
-43.6	4.4e-08	2.8e-07	1.0e+00	-0.000	0	0.000
-43.5	5.2e-08	3.3e-07	1.0e+00	-0.000	0	0.000
-43.4	6.2e-08	3.9e-07	1.0e+00	-0.000	0	0.000
-43.3	6.7e-08	4.6e-07	1.0e+00	-0.000	0	0.000
-43.2	8.3e-08	5.4e-07	1.0e+00	-0.000	0	0.000
-43.1	9.2e-08	6.3e-07	1.0e+00	-0.000	0	0.000
-43.0	1.1e-07	7.5e-07	1.0e+00	-0.000	0	0.000
-42.9	1.2e-07	8.7e-07	1.0e+00	-0.000	0	0.000
-42.8	1.4e-07	1.0e-06	1.0e+00	-0.000	0	0.000
-42.7	1.7e-07	1.2e-06	1.0e+00	-0.000	0	0.000
-42.6	1.9e-07	1.4e-06	1.0e+00	-0.000	0	0.000
-42.5	2.2e-07	1.6e-06	1.0e+00	-0.000	0	0.000
-42.4	2.4e-07	1.8e-06	1.0e+00	-0.000	0	0.000
-42.3	2.8e-07	2.1e-06	1.0e+00	-0.000	0	0.000
-42.2	3.2e-07	2.4e-06	1.0e+00	-0.000	0	0.000
-42.1	3.6e-07	2.8e-06	1.0e+00	-0.000	0	0.000
-42.0	4.1e-07	3.2e-06	1.0e+00	-0.000	0	0.000
-41.9	4.6e-07	3.6e-06	1.0e+00	-0.000	0	0.000
-41.8	5.2e-07	4.2e-06	1.0e+00	-0.000	0	0.000
-41.7	5.8e-07	4.7e-06	1.0e+00	-0.000	0	0.000
-41.6	6.6e-07	5.4e-06	1.0e+00	-0.000	0	0.000
-41.5	7.5e-07	6.2e-06	1.0e+00	-0.000	0	0.000
-41.4	8.3e-07	7.0e-06	1.0e+00	-0.000	0	0.000
-41.3	9.3e-07	7.9e-06	1.0e+00	-0.000	0	0.000
-41.2	1.0e-06	8.9e-06	1.0e+00	-0.000	0	0.000
-41.1	1.2e-06	1.0e-05	1.0e+00	-0.000	0	0.000
-41.0	1.3e-06	1.1e-05	1.0e+00	-0.000	0	0.000
-40.9	1.5e-06	1.3e-05	1.0e+00	-0.000	0	0.000
-40.8	1.6e-06	1.4e-05	1.0e+00	-0.000	0	0.000
-40.7	1.8e-06	1.6e-05	1.0e+00	-0.000	0	0.000
-40.6	2.0e-06	1.8e-05	1.0e+00	-0.000	0	0.000
-40.5	2.2e-06	2.0e-05	1.0e+00	-0.000	0	0.000
-40.4	2.4e-06	2.3e-05	1.0e+00	-0.000	0	0.000
-40.3	2.7e-06	2.6e-05	1.0e+00	-0.000	0	0.000
-40.2	3.0e-06	2.9e-05	1.0e+00	-0.000	0	0.000
-40.1	3.3e-06	3.2e-05	1.0e+00	-0.000	0	0.000
-40.0	3.6e-06	3.5e-05	1.0e+00	-0.000	0	0.000
-39.9	4.0e-06	3.9e-05	1.0e+00	-0.000	0	0.000
-39.8	4.4e-06	4.4e-05	1.0e+00	-0.000	0	0.000
-39.7	4.8e-06	4.9e-05	1.0e+00	-0.000	0	0.000
-39.6	5.2e-06	5.4e-05	1.0e+00	-0.000	0	0.000
-39.5	5.8e-06	6.0e-05	1.0e+00	-0.000	0	0.000
-39.4	6.3e-06	6.6e-05	1.0e+00	-0.000	0	0.000
-39.3	6.9e-06	7.3e-05	1.0e+00	-0.000	0	0.000
-39.2	7.5e-06	8.0e-05	1.0e+00	-0.000	0	0.000
-39.1	8.2e-06	8.8e-05	1.0e+00	-0.000	0	0.000
-39.0	9.0e-06	9.7e-05	1.0e+00	-0.000	0	0.000
-38.9	9.8e-06	1.1e-04	1.0e+00	-0.000	0	0.000
-38.8	1.1e-05	1.2e-04	1.0e+00	-0.000	0	0.000
-38.7	1.2e-05	1.3e-04	1.0e+00	-0.000	0	0.000
-38.6	1.3e-05	1.4e-04	1.0e+00	-0.000	0	0.000
-38.5	1.4e-05	1.6e-04	1.0e+00	-0.000	0	0.000
-38.4	1.5e-05	1.7e-04	1.0e+00	-0.000	0	0.000
-38.3	1.6e-05	1.9e-04	1.0e+00	-0.000	0	0.000
-38.2	1.7e-05	2.0e-04	1.0e+00	-0.000	0	0.000
-38.1	1.9e-05	2.2e-04	1.0e+00	-0.000	0	0.000
-38.0	2.0e-05	2.4e-04	1.0e+00	-0.000	0	0.000
-37.9	2.2e-05	2.6e-04	1.0e+00	-0.000	0	0.000
-37.8	2.4e-05	2.9e-04	1.0e+00	-0.000	0	0.000
-37.7	2.5e-05	3.1e-04	1.0e+00	-0.000	0	0.000
-37.6	2.7e-05	3.4e-04	1.0e+00	-0.000	0	0.000
-37.5	3.0e-05	3.7e-04	1.0e+00	-0.000	0	0.000
-37.4	3.2e-05	4.0e-04	1.0e+00	-0.000	0	0.000
-37.3	3.4e-05	4.4e-04	1.0e+00	-0.000	0	0.000
-37.2	3.7e-05	4.7e-04	1.0e+00	-0.000	0	0.000
-37.1	3.9e-05	5.1e-04	1.0e+00	-0.000	0	0.000
-37.0	4.2e-05	5.5e-04	1.0e+00	-0.001	0	0.000
-36.9	4.5e-05	6.0e-04	1.0e+00	-0.001	0	0.000
-36.8	4.8e-05	6.5e-04	1.0e+00	-0.001	0	0.000
-36.7	5.2e-05	7.0e-04	1.0e+00	-0.001	0	0.000
-36.6	5.5e-05	7.5e-04	1.0e+00	-0.001	0	0.000
-36.5	5.9e-05	8.1e-04	1.0e+00	-0.001	0	0.000
-36.4	6.3e-05	8.8e-04	1.0e+00	-0.001	0	0.000
-36.3	6.7e-05	9.4e-04	1.0e+00	-0.001	0	0.000
-36.2	7.2e-05	1.0e-03	1.0e+00	-0.001	0	0.000
-36.1	7.6e-05	1.1e-03	1.0e+00	-0.001	0	0.000
-36.0	8.1e-05	1.2e-03	1.0e+00	-0.001	0	0.000
