; matrix-scan  -v 1 -bginput -markov 0 -seq_format fasta -2str -origin end -pseudo 1 -bg_pseudo 0.05 -m $RSAT/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/input_matrix -matrix_format transfac -quick -return distrib,occ_proba,rank -i $RSAT/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/lexA_recA/Gammaproteobacteria/Escherichia_coli_GCF_000005845.2_ASM584v2/Matrix/lexA/lexA_Escherichia_coli_GCF_000005845.2_ASM584v2_Gammaproteobacteria_ortho_seq_purged.fasta -o $RSAT/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/lexA_recA/Gammaproteobacteria/Escherichia_coli_GCF_000005845.2_ASM584v2/Matrix/lexA/lexA_Escherichia_coli_GCF_000005845.2_ASM584v2_Gammaproteobacteria_Matrix_occ_sig.tab
; Slow counting mode            
; Input files
;	input	/space23/rsat/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/lexA_recA/Gammaproteobacteria/Escherichia_coli_GCF_000005845.2_ASM584v2/Matrix/lexA/lexA_Escherichia_coli_GCF_000005845.2_ASM584v2_Gammaproteobacteria_ortho_seq_purged.fasta
; Matrix files
;	matrix 1	/space23/rsat/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/input_matrix
; Sequence format      	fasta
; Output files
;	output	/space23/rsat/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/lexA_recA/Gammaproteobacteria/Escherichia_coli_GCF_000005845.2_ASM584v2/Matrix/lexA/lexA_Escherichia_coli_GCF_000005845.2_ASM584v2_Gammaproteobacteria_Matrix_occ_sig.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Bernoulli model (order=0)
;	Strand        	undef
;	Background pseudo-frequency	0.05
;	Residue probabilities
;		a	0.26996
;		c	0.24340
;		g	0.23082
;		t	0.25582
;
; Matrices
;	matrix	name	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	LexA	20	4	1	-46.600	18.900	65.500	a:0.270 c:0.243 g:0.231 t:0.256 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
LexA	-41.0	1	1	135036	1.000000e+00	9.999894e-01	135034.57	2.383525e-01	1.360993e+02	-2.13	1
LexA	-40.0	1	2	135035	9.999926e-01	9.999668e-01	135031.52	6.226524e-02	3.555345e+01	-1.55	2
LexA	-39.9	3	5	135034	9.999852e-01	9.999631e-01	135031.02	1.262087e-01	7.206518e+01	-1.86	3
LexA	-39.6	1	6	135031	9.999630e-01	9.999495e-01	135029.18	3.243619e-01	1.852107e+02	-2.27	4
LexA	-39.4	1	7	135030	9.999556e-01	9.999381e-01	135027.64	2.713740e-01	1.549545e+02	-2.19	5
LexA	-39.3	1	8	135029	9.999482e-01	9.999316e-01	135026.76	2.964215e-01	1.692567e+02	-2.23	6
LexA	-39.2	2	10	135028	9.999408e-01	9.999244e-01	135025.80	3.104117e-01	1.772451e+02	-2.25	7
LexA	-39.1	1	11	135026	9.999259e-01	9.999166e-01	135024.74	4.297357e-01	2.453791e+02	-2.39	8
LexA	-39.0	2	13	135025	9.999185e-01	9.999082e-01	135023.60	4.163799e-01	2.377529e+02	-2.38	9
LexA	-38.9	1	14	135023	9.999037e-01	9.998989e-01	135022.35	5.014566e-01	2.863317e+02	-2.46	10
LexA	-38.6	1	15	135022	9.998963e-01	9.998659e-01	135017.89	2.011055e-01	1.148313e+02	-2.06	11
LexA	-38.5	2	17	135021	9.998889e-01	9.998530e-01	135016.14	1.640114e-01	9.365050e+01	-1.97	12
LexA	-38.4	1	18	135019	9.998741e-01	9.998389e-01	135014.25	1.820840e-01	1.039700e+02	-2.02	13
LexA	-38.3	1	19	135018	9.998667e-01	9.998237e-01	135012.19	1.361869e-01	7.776273e+01	-1.89	14
LexA	-38.2	2	21	135017	9.998593e-01	9.998072e-01	135009.96	9.559816e-02	5.458655e+01	-1.74	15
LexA	-38.1	1	22	135015	9.998445e-01	9.997893e-01	135007.55	9.192148e-02	5.248717e+01	-1.72	16
LexA	-38.0	3	25	135014	9.998371e-01	9.997701e-01	135004.95	5.670826e-02	3.238042e+01	-1.51	17
LexA	-37.9	2	27	135011	9.998149e-01	9.997492e-01	135002.13	7.020417e-02	4.008658e+01	-1.60	18
LexA	-37.7	4	31	135009	9.998001e-01	9.997024e-01	134995.82	1.807272e-02	1.031952e+01	-1.01	19
LexA	-37.6	6	37	135005	9.997704e-01	9.996763e-01	134992.29	2.754215e-02	1.572657e+01	-1.20	20
LexA	-37.5	4	41	134999	9.997260e-01	9.996482e-01	134988.49	6.901821e-02	3.940940e+01	-1.60	21
LexA	-37.4	5	46	134995	9.996964e-01	9.996179e-01	134984.40	7.596922e-02	4.337842e+01	-1.64	22
