#weight	proba	cum	Pval	ln_Pval	log_P	sig
-46.2	NA	0.0e+00	1.0e+00	0.000	0	0.000
-46.1	4.8e-11	4.8e-11	1.0e+00	0.000	0	0.000
-46.0	NA	4.8e-11	1.0e+00	-0.000	0	0.000
-45.9	NA	4.8e-11	1.0e+00	-0.000	0	0.000
-45.8	1.3e-10	1.8e-10	1.0e+00	-0.000	0	0.000
-45.7	1.3e-10	3.1e-10	1.0e+00	-0.000	0	0.000
-45.6	3.7e-11	3.5e-10	1.0e+00	-0.000	0	0.000
-45.5	3.2e-10	6.7e-10	1.0e+00	-0.000	0	0.000
-45.4	2.8e-10	9.5e-10	1.0e+00	-0.000	0	0.000
-45.3	3.4e-10	1.3e-09	1.0e+00	-0.000	0	0.000
-45.2	6.3e-10	1.9e-09	1.0e+00	-0.000	0	0.000
-45.1	7.7e-10	2.7e-09	1.0e+00	-0.000	0	0.000
-45.0	7.6e-10	3.5e-09	1.0e+00	-0.000	0	0.000
-44.9	1.2e-09	4.7e-09	1.0e+00	-0.000	0	0.000
-44.8	1.7e-09	6.4e-09	1.0e+00	-0.000	0	0.000
-44.7	1.3e-09	7.7e-09	1.0e+00	-0.000	0	0.000
-44.6	2.5e-09	1.0e-08	1.0e+00	-0.000	0	0.000
-44.5	2.9e-09	1.3e-08	1.0e+00	-0.000	0	0.000
-44.4	3.5e-09	1.7e-08	1.0e+00	-0.000	0	0.000
-44.3	3.6e-09	2.0e-08	1.0e+00	-0.000	0	0.000
-44.2	6.1e-09	2.6e-08	1.0e+00	-0.000	0	0.000
-44.1	6.1e-09	3.2e-08	1.0e+00	-0.000	0	0.000
-44.0	6.9e-09	3.9e-08	1.0e+00	-0.000	0	0.000
-43.9	9.5e-09	4.9e-08	1.0e+00	-0.000	0	0.000
-43.8	1.1e-08	5.9e-08	1.0e+00	-0.000	0	0.000
-43.7	1.2e-08	7.2e-08	1.0e+00	-0.000	0	0.000
-43.6	1.6e-08	8.8e-08	1.0e+00	-0.000	0	0.000
-43.5	2.0e-08	1.1e-07	1.0e+00	-0.000	0	0.000
-43.4	2.2e-08	1.3e-07	1.0e+00	-0.000	0	0.000
-43.3	2.8e-08	1.6e-07	1.0e+00	-0.000	0	0.000
-43.2	3.0e-08	1.9e-07	1.0e+00	-0.000	0	0.000
-43.1	3.7e-08	2.2e-07	1.0e+00	-0.000	0	0.000
-43.0	4.1e-08	2.7e-07	1.0e+00	-0.000	0	0.000
-42.9	5.1e-08	3.2e-07	1.0e+00	-0.000	0	0.000
-42.8	5.8e-08	3.7e-07	1.0e+00	-0.000	0	0.000
