; matrix-scan  -v 1 -bginput -markov 0 -seq_format fasta -2str -origin end -pseudo 1 -bg_pseudo 0.05 -m $RSAT/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/input_matrix -matrix_format transfac -quick -return distrib,occ_proba,rank -i $RSAT/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/lexA_recA/Gammaproteobacteria/Escherichia_coli_GCF_000005845.2_ASM584v2/Matrix/recA/recA_Escherichia_coli_GCF_000005845.2_ASM584v2_Gammaproteobacteria_ortho_seq_purged.fasta -o $RSAT/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/lexA_recA/Gammaproteobacteria/Escherichia_coli_GCF_000005845.2_ASM584v2/Matrix/recA/recA_Escherichia_coli_GCF_000005845.2_ASM584v2_Gammaproteobacteria_Matrix_occ_sig.tab
; Slow counting mode            
; Input files
;	input	/space23/rsat/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/lexA_recA/Gammaproteobacteria/Escherichia_coli_GCF_000005845.2_ASM584v2/Matrix/recA/recA_Escherichia_coli_GCF_000005845.2_ASM584v2_Gammaproteobacteria_ortho_seq_purged.fasta
; Matrix files
;	matrix 1	/space23/rsat/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/input_matrix
; Sequence format      	fasta
; Output files
;	output	/space23/rsat/public_html/tmp/apache/2018/03/21/footprint-scan_Gammaproteobacteria__lexA_recA_2018-03-21.183943_2018-03-21.183943_J8t3qJ/lexA_recA/Gammaproteobacteria/Escherichia_coli_GCF_000005845.2_ASM584v2/Matrix/recA/recA_Escherichia_coli_GCF_000005845.2_ASM584v2_Gammaproteobacteria_Matrix_occ_sig.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Bernoulli model (order=0)
;	Strand        	undef
;	Background pseudo-frequency	0.05
;	Residue probabilities
;		a	0.29189
;		c	0.21312
;		g	0.21872
;		t	0.27628
;
; Matrices
;	matrix	name	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	LexA	20	4	1	-46.200	18.100	64.300	a:0.292 c:0.213 g:0.219 t:0.276 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
LexA	-40.8	1	1	108084	1.000000e+00	9.999933e-01	108083.27	4.824683e-01	2.590855e+02	-2.41	1
LexA	-40.0	2	3	108083	9.999907e-01	9.999823e-01	108082.08	4.292837e-01	2.305253e+02	-2.36	2
LexA	-39.8	1	4	108081	9.999722e-01	9.999777e-01	108081.59	7.774659e-01	4.174992e+02	-2.62	3
LexA	-39.5	1	5	108080	9.999630e-01	9.999690e-01	108080.65	7.525693e-01	4.041297e+02	-2.61	4
LexA	-39.1	1	6	108079	9.999537e-01	9.999525e-01	108078.86	5.920059e-01	3.179072e+02	-2.50	5
LexA	-39.0	1	7	108078	9.999445e-01	9.999473e-01	108078.30	6.545830e-01	3.515111e+02	-2.55	6
LexA	-38.9	1	8	108077	9.999352e-01	9.999416e-01	108077.68	6.995550e-01	3.756610e+02	-2.57	7
LexA	-38.3	1	9	108076	9.999260e-01	9.998942e-01	108072.57	1.958170e-01	1.051537e+02	-2.02	8
LexA	-38.2	1	10	108075	9.999167e-01	9.998837e-01	108071.43	1.959283e-01	1.052135e+02	-2.02	9
LexA	-37.9	3	13	108074	9.999075e-01	9.998460e-01	108067.36	5.802961e-02	3.116190e+01	-1.49	10
LexA	-37.8	1	14	108071	9.998797e-01	9.998313e-01	108065.77	1.311062e-01	7.040401e+01	-1.85	11
LexA	-37.7	3	17	108070	9.998705e-01	9.998153e-01	108064.04	1.063959e-01	5.713459e+01	-1.76	12
LexA	-37.6	3	20	108067	9.998427e-01	9.997980e-01	108062.17	1.780558e-01	9.561597e+01	-1.98	13
LexA	-37.5	3	23	108064	9.998150e-01	9.997793e-01	108060.15	2.517843e-01	1.352082e+02	-2.13	14
LexA	-37.4	5	28	108061	9.997872e-01	9.997590e-01	108057.95	3.175655e-01	1.705327e+02	-2.23	15
LexA	-37.3	1	29	108056	9.997409e-01	9.997371e-01	108055.58	5.187060e-01	2.785451e+02	-2.44	16
LexA	-37.2	2	31	108055	9.997317e-01	9.997135e-01	108053.03	4.066567e-01	2.183746e+02	-2.34	17
LexA	-37.1	1	32	108053	9.997132e-01	9.996879e-01	108050.27	3.595274e-01	1.930662e+02	-2.29	18
LexA	-37.0	2	34	108052	9.997039e-01	9.996604e-01	108047.30	2.484645e-01	1.334254e+02	-2.13	19
LexA	-36.9	7	41	108050	9.996854e-01	9.996308e-01	108044.09	1.978682e-01	1.062552e+02	-2.03	20
LexA	-36.8	2	43	108043	9.996207e-01	9.995989e-01	108040.65	3.981028e-01	2.137812e+02	-2.33	21
LexA	-36.7	1	44	108041	9.996022e-01	9.995646e-01	108036.94	3.080876e-01	1.654430e+02	-2.22	22
LexA	-36.6	6	50	108040	9.995929e-01	9.995278e-01	108032.96	1.808866e-01	9.713608e+01	-1.99	23
LexA	-36.5	4	54	108034	9.995374e-01	9.994882e-01	108028.69	2.629176e-01	1.411867e+02	-2.15	24
LexA	-36.4	5	59	108030	9.995004e-01	9.994458e-01	108024.10	2.460043e-01	1.321043e+02	-2.12	25
LexA	-36.3	4	63	108025	9.994541e-01	9.994003e-01	108019.18	2.579946e-01	1.385431e+02	-2.14	26
LexA	-36.2	8	71	108021	9.994171e-01	9.993515e-01	108013.91	2.177222e-01	1.169168e+02	-2.07	27
LexA	-36.1	4	75	108013	9.993431e-01	9.992994e-01	108008.27	3.186834e-01	1.711330e+02	-2.23	28
LexA	-36.0	7	82	108009	9.993061e-01	9.992435e-01	108002.24	2.472274e-01	1.327611e+02	-2.12	29
LexA	-35.9	4	86	108002	9.992413e-01	9.991837e-01	107995.77	2.747045e-01	1.475163e+02	-2.17	30
LexA	-35.8	11	97	107998	9.992043e-01	9.991200e-01	107988.89	1.894275e-01	1.017226e+02	-2.01	31
LexA	-35.7	9	106	107987	9.991025e-01	9.990519e-01	107981.53	3.161029e-01	1.697473e+02	-2.23	32
LexA	-35.6	9	115	107978	9.990193e-01	9.989793e-01	107973.68	3.632769e-01	1.950797e+02	-2.29	33
LexA	-35.5	14	129	107969	9.989360e-01	9.989019e-01	107965.31	3.901514e-01	2.095113e+02	-2.32	34
LexA	-35.4	12	141	107955	9.988065e-01	9.988194e-01	107956.39	5.721140e-01	3.072252e+02	-2.49	35
LexA	-35.3	7	148	107943	9.986955e-01	9.987316e-01	107946.90	6.510868e-01	3.496336e+02	-2.54	36
LexA	-35.2	10	158	107936	9.986307e-01	9.986382e-01	107936.81	5.485351e-01	2.945633e+02	-2.47	37
LexA	-35.1	13	171	107926	9.985382e-01	9.985388e-01	107926.07	5.233065e-01	2.810156e+02	-2.45	38
LexA	-35.0	14	185	107913	9.984179e-01	9.984332e-01	107914.66	5.706936e-01	3.064625e+02	-2.49	39
LexA	-34.9	8	193	107899	9.982884e-01	9.983210e-01	107902.53	6.219697e-01	3.339977e+02	-2.52	40
LexA	-34.8	11	204	107891	9.982144e-01	9.982020e-01	107889.67	4.808655e-01	2.582248e+02	-2.41	41
LexA	-34.7	7	211	107880	9.981126e-01	9.980758e-01	107876.02	4.088695e-01	2.195629e+02	-2.34	42
LexA	-34.6	8	219	107873	9.980478e-01	9.979422e-01	107861.58	2.334498e-01	1.253625e+02	-2.10	43
LexA	-34.5	18	237	107865	9.979738e-01	9.978004e-01	107846.26	1.172711e-01	6.297457e+01	-1.80	44
LexA	-34.4	21	258	107847	9.978073e-01	9.976502e-01	107830.02	1.500772e-01	8.059146e+01	-1.91	45
LexA	-34.3	20	278	107826	9.976130e-01	9.974916e-01	107812.88	2.226138e-01	1.195436e+02	-2.08	46
LexA	-34.2	15	293	107806	9.974279e-01	9.973239e-01	107794.76	2.654305e-01	1.425362e+02	-2.15	47
LexA	-34.1	14	307	107791	9.972891e-01	9.971464e-01	107775.58	1.980790e-01	1.063684e+02	-2.03	48
LexA	-34.0	13	320	107777	9.971596e-01	9.969591e-01	107755.33	1.203561e-01	6.463122e+01	-1.81	49
LexA	-33.9	10	330	107764	9.970393e-01	9.967611e-01	107733.93	5.511179e-02	2.959503e+01	-1.47	50
LexA	-33.8	30	360	107754	9.969468e-01	9.965524e-01	107711.36	1.317853e-02	7.076870e+00	-0.85	51
LexA	-33.7	18	378	107724	9.966693e-01	9.963325e-01	107687.60	3.391700e-02	1.821343e+01	-1.26	52
LexA	-33.6	20	398	107706	9.965027e-01	9.961009e-01	107662.56	1.681944e-02	9.032041e+00	-0.96	53
LexA	-33.5	35	433	107686	9.963177e-01	9.958565e-01	107636.16	8.814155e-03	4.733201e+00	-0.68	54
LexA	-33.4	28	461	107651	9.959939e-01	9.955993e-01	107608.35	2.506866e-02	1.346187e+01	-1.13	55
LexA	-33.3	28	489	107623	9.957348e-01	9.953289e-01	107579.13	2.525239e-02	1.356053e+01	-1.13	56
LexA	-33.2	31	520	107595	9.954757e-01	9.950449e-01	107548.43	2.179424e-02	1.170351e+01	-1.07	57
LexA	-33.1	35	555	107564	9.951889e-01	9.947462e-01	107516.15	2.200804e-02	1.181832e+01	-1.07	58
LexA	-33.0	43	598	107529	9.948651e-01	9.944323e-01	107482.22	2.807640e-02	1.507702e+01	-1.18	59
LexA	-32.9	36	634	107486	9.944673e-01	9.941025e-01	107446.57	5.986788e-02	3.214905e+01	-1.51	60
LexA	-32.8	33	667	107450	9.941342e-01	9.937568e-01	107409.21	5.874803e-02	3.154769e+01	-1.50	61
LexA	-32.7	39	706	107417	9.938289e-01	9.933942e-01	107370.02	3.934293e-02	2.112715e+01	-1.32	62
LexA	-32.6	39	745	107378	9.934680e-01	9.930146e-01	107328.99	3.713920e-02	1.994375e+01	-1.30	63
LexA	-32.5	44	789	107339	9.931072e-01	9.926166e-01	107285.98	2.997448e-02	1.609630e+01	-1.21	64
LexA	-32.4	53	842	107295	9.927001e-01	9.921993e-01	107240.87	3.084813e-02	1.656545e+01	-1.22	65
LexA	-32.3	48	890	107242	9.922098e-01	9.917629e-01	107193.70	5.288446e-02	2.839896e+01	-1.45	66
LexA	-32.2	57	947	107194	9.917657e-01	9.913072e-01	107144.44	5.302597e-02	2.847495e+01	-1.45	67
LexA	-32.1	47	994	107137	9.912383e-01	9.908301e-01	107092.88	8.121862e-02	4.361440e+01	-1.64	68
LexA	-32.0	61	1055	107090	9.908034e-01	9.903314e-01	107038.98	5.728894e-02	3.076416e+01	-1.49	69
LexA	-31.9	53	1108	107029	9.902391e-01	9.898107e-01	106982.70	8.196922e-02	4.401747e+01	-1.64	70
LexA	-31.8	59	1167	106976	9.897487e-01	9.892664e-01	106923.86	6.291815e-02	3.378705e+01	-1.53	71
LexA	-31.7	65	1232	106917	9.892028e-01	9.886988e-01	106862.52	5.937707e-02	3.188549e+01	-1.50	72
LexA	-31.6	70	1302	106852	9.886015e-01	9.881076e-01	106798.62	6.820536e-02	3.662628e+01	-1.56	73
LexA	-31.5	65	1367	106782	9.879538e-01	9.874901e-01	106731.88	8.663322e-02	4.652204e+01	-1.67	74
LexA	-31.4	52	1419	106717	9.873524e-01	9.868477e-01	106662.44	7.379658e-02	3.962876e+01	-1.60	75
LexA	-31.3	77	1496	106665	9.868713e-01	9.861774e-01	106590.00	2.541394e-02	1.364729e+01	-1.14	76
LexA	-31.2	81	1577	106588	9.861589e-01	9.854809e-01	106514.71	3.136737e-02	1.684428e+01	-1.23	77
LexA	-31.1	76	1653	106507	9.854095e-01	9.847553e-01	106436.29	3.995247e-02	2.145448e+01	-1.33	78
LexA	-31.0	86	1739	106431	9.847063e-01	9.840001e-01	106354.67	3.231263e-02	1.735188e+01	-1.24	79
LexA	-30.9	85	1824	106345	9.839107e-01	9.832165e-01	106269.97	3.811558e-02	2.046807e+01	-1.31	80
LexA	-30.8	107	1931	106260	9.831242e-01	9.824002e-01	106181.75	3.537084e-02	1.899414e+01	-1.28	81
