#key	matrix-quality_2018-03-21.175002_CRP.RegulonDB2012_score_distrib_CRP_binding_sites_nwd.tab	matrix-quality_2018-03-21.175002_CRP.RegulonDB2012_score_distrib_LexA_peaks_nwd.tab
0.00014	<NULL>	0
0.00021	<NULL>	0.00454545454545453
0.00028	<NULL>	0.0136363636363637
0.00031	0.313636363636364	<NULL>
0.00062	0.331818181818182	-0.00454545454545457
0.001	<NULL>	-0.00909090909090906
0.0011	0.336363636363636	-0.0181818181818182
0.0012	0.336363636363636	-0.0227272727272727
0.0013	<NULL>	-0.0227272727272727
0.0014	0.340909090909091	-0.0227272727272727
0.0015	<NULL>	-0.0227272727272727
0.0019	<NULL>	-0.0136363636363636
0.0022	0.363636363636364	-0.0090909090909091
0.0024	<NULL>	-0.0090909090909091
0.0026	0.354545454545454	-0.0136363636363636
0.0028	<NULL>	-0.0181818181818182
0.003	0.359090909090909	<NULL>
0.0032	<NULL>	-0.0136363636363636
0.0035	<NULL>	-0.0181818181818182
0.004	0.35	-0.0136363636363636
0.0056	<NULL>	-0.0136363636363636
0.0068	0.340909090909091	<NULL>
0.0078	0.340909090909091	<NULL>
0.01	0.331818181818182	<NULL>
0.011	0.331818181818182	-0.0181818181818182
0.012	0.331818181818182	-0.0136363636363636
0.013	0.327272727272727	-0.0181818181818182
0.014	0.318181818181818	-0.0181818181818182
0.015	0.318181818181818	-0.0181818181818182
0.016	<NULL>	-0.0181818181818182
0.017	0.318181818181818	-0.0181818181818182
0.018	0.313636363636364	-0.0181818181818182
0.019	0.313636363636364	-0.0181818181818182
0.02	0.304545454545455	-0.0181818181818182
0.021	0.304545454545455	<NULL>
0.023	0.3	-0.0181818181818182
0.024	0.286363636363636	-0.0181818181818182
0.025	0.281818181818182	-0.0181818181818182
0.027	0.272727272727273	<NULL>
0.028	0.268181818181818	-0.0181818181818182
0.029	0.263636363636364	<NULL>
0.031	0.25	-0.0181818181818182
0.033	0.231818181818182	-0.0181818181818182
0.034	0.227272727272727	<NULL>
0.036	0.209090909090909	<NULL>
0.038	0.190909090909091	-0.0181818181818182
0.04	0.177272727272727	-0.0181818181818182
0.042	0.163636363636364	-0.0181818181818182
0.044	0.154545454545455	-0.0181818181818182
0.046	0.145454545454545	-0.0181818181818182
0.048	0.140909090909091	<NULL>
0.051	0.127272727272727	<NULL>
0.053	0.122727272727273	-0.0181818181818182
0.055	<NULL>	-0.0181818181818182
0.058	0.109090909090909	<NULL>
0.061	0.104545454545455	<NULL>
0.063	0.1	<NULL>
0.066	0.0954545454545455	<NULL>
0.075	0.0818181818181818	<NULL>
0.079	0.0772727272727273	<NULL>
0.085	0.0727272727272727	<NULL>
0.089	0.0681818181818182	<NULL>
0.093	<NULL>	-0.0227272727272727
0.096	0.0636363636363636	<NULL>
0.1	0.0590909090909091	-0.0227272727272727
0.11	0.0590909090909091	-0.0181818181818182
0.12	0.0454545454545455	-0.0227272727272727
0.13	0.0409090909090909	-0.0227272727272727
0.14	0.0409090909090909	-0.0227272727272727
0.15	0.0318181818181818	-0.0272727272727273
0.16	0.0318181818181818	-0.0181818181818182
0.17	0.0272727272727273	-0.0227272727272727
0.18	0.0227272727272727	-0.0227272727272727
0.19	0.0227272727272727	-0.0227272727272727
0.2	0.0227272727272727	-0.0227272727272727
0.21	0.0181818181818182	-0.0227272727272727
0.22	0.0181818181818182	-0.0227272727272727
0.23	0.0136363636363636	-0.0227272727272727
0.24	0.0136363636363636	-0.0227272727272727
0.25	0.0090909090909091	-0.0272727272727273
0.26	0.00909090909090906	-0.0227272727272727
0.27	0.00454545454545457	-0.0227272727272727
0.28	0.00454545454545453	-0.0272727272727273
0.29	0.00454545454545453	-0.0227272727272727
0.3	0.00454545454545453	-0.0272727272727273
0.31	0.00454545454545453	-0.0227272727272727
0.32	0	-0.0227272727272727
0.33	-0.00454545454545453	-0.0272727272727273
0.34	-0.00454545454545457	-0.0272727272727273
0.35	0	-0.0227272727272727
0.36	-0.00454545454545453	-0.0272727272727273
0.37	-0.00454545454545453	-0.0272727272727273
0.38	-0.0090909090909091	-0.0272727272727273
0.39	-0.00454545454545457	-0.0227272727272728
0.4	-0.00909090909090906	-0.0227272727272727
0.41	-0.00909090909090906	-0.0272727272727273
0.42	-0.00909090909090914	-0.0272727272727273
0.43	-0.0136363636363637	-0.0272727272727273
0.44	-0.00909090909090906	-0.0227272727272727
0.45	-0.00909090909090906	-0.0272727272727273
0.46	-0.00909090909090914	-0.0272727272727273
0.47	-0.00909090909090914	-0.0272727272727273
0.48	-0.0136363636363636	-0.0272727272727273
0.49	-0.0136363636363636	-0.0318181818181818
0.5	-0.00909090909090914	-0.0272727272727273
0.51	-0.0136363636363637	-0.0272727272727273
0.52	-0.0136363636363636	-0.0272727272727273
0.53	-0.0136363636363636	-0.0318181818181818
0.54	-0.0136363636363637	-0.0318181818181818
0.55	-0.0136363636363637	-0.0272727272727273
0.56	-0.0136363636363636	-0.0272727272727273
0.57	-0.0136363636363636	-0.0272727272727273
0.58	-0.0136363636363637	-0.0318181818181818
0.59	-0.0136363636363637	-0.0318181818181819
0.6	-0.00909090909090906	-0.0272727272727273
0.61	-0.00909090909090906	-0.0272727272727273
0.62	-0.0136363636363637	-0.0318181818181818
0.63	-0.0136363636363637	-0.0318181818181819
0.64	-0.0136363636363636	-0.0272727272727273
0.65	-0.0136363636363636	-0.0272727272727273
0.66	-0.0136363636363637	-0.0318181818181818
0.67	-0.0181818181818182	-0.0318181818181819
0.68	-0.0136363636363636	-0.0318181818181818
0.69	-0.0136363636363636	-0.0318181818181818
0.7	-0.0181818181818182	-0.0318181818181818
0.71	-0.0136363636363637	-0.0318181818181819
0.72	-0.0136363636363636	-0.0318181818181818
0.73	-0.0136363636363637	-0.0318181818181818
0.74	-0.0136363636363637	-0.0318181818181819
0.75	-0.00909090909090906	-0.0318181818181818
0.76	-0.0136363636363636	-0.0318181818181818
0.77	-0.00909090909090914	-0.0318181818181819
0.78	-0.0136363636363637	-0.0318181818181819
0.79	-0.00909090909090906	-0.0318181818181818
0.8	-0.00909090909090914	-0.0318181818181819
0.81	-0.00909090909090914	-0.0363636363636364
0.82	-0.00909090909090906	-0.0363636363636363
0.83	-0.00909090909090914	-0.0363636363636364
0.84	-0.00909090909090906	-0.0363636363636363
0.85	-0.00909090909090906	-0.0318181818181818
0.86	-0.00909090909090914	-0.0318181818181819
0.87	-0.00909090909090906	-0.0318181818181818
0.88	-0.00454545454545461	-0.0318181818181819
0.89	-0.00454545454545453	-0.0363636363636363
0.9	-0.00454545454545461	-0.0363636363636364
0.91	0	-0.0318181818181818
0.92	0	-0.0363636363636364
0.93	0	-0.0363636363636362
0.94	0	-0.0363636363636364
0.95	0	-0.0363636363636364
0.96	0.00454545454545445	-0.0318181818181819
0.97	0.00454545454545461	-0.0318181818181818
0.98	0.00454545454545445	-0.0318181818181818
0.99	0.00454545454545445	-0.0272727272727273
1	-0.0227272727272727	-0.0363636363636364
