#weight	occ	cum	dcum	dCDF
<blockquote class='information'>	NA	0	20828	      1
<font color='#006600'><b>Information: </b>Input files<br>	NA	0	20828	      1
	NA	0	20828	      1
	NA	0	20828	      1
</blockquote><br><hr size=3>	NA	0	20828	      1
-25.7	1	1	20828	      1
-25.6	0	1	20827	0.999952
-25.5	0	1	20827	0.999952
-25.4	0	1	20827	0.999952
-25.3	0	1	20827	0.999952
-25.2	0	1	20827	0.999952
-25.1	0	1	20827	0.999952
-25	0	1	20827	0.999952
-24.9	1	2	20827	0.999952
-24.8	0	2	20826	0.999904
-24.7	0	2	20826	0.999904
-24.6	1	3	20826	0.999904
-24.5	1	4	20825	0.999856
-24.4	1	5	20824	0.999808
-24.3	0	5	20823	0.99976
-24.2	1	6	20823	0.99976
-24.1	0	6	20822	0.999712
-24	0	6	20822	0.999712
-23.9	3	9	20822	0.999712
-23.8	1	10	20819	0.999568
-23.7	2	12	20818	0.99952
-23.6	2	14	20816	0.999424
-23.5	1	15	20814	0.999328
-23.4	1	16	20813	0.99928
-23.3	2	18	20812	0.999232
-23.2	2	20	20810	0.999136
-23.1	2	22	20808	0.99904
-23	3	25	20806	0.998944
-22.9	3	28	20803	 0.9988
-22.8	4	32	20800	0.998656
-22.7	4	36	20796	0.998464
-22.6	1	37	20792	0.998272
-22.5	5	42	20791	0.998224
-22.4	3	45	20786	0.997983
-22.3	0	45	20783	0.997839
-22.2	6	51	20783	0.997839
-22.1	2	53	20777	0.997551
-22	4	57	20775	0.997455
-21.9	5	62	20771	0.997263
-21.8	9	71	20766	0.997023
-21.7	6	77	20757	0.996591
-21.6	6	83	20751	0.996303
-21.5	4	87	20745	0.996015
-21.4	4	91	20741	0.995823
-21.3	11	102	20737	0.995631
-21.2	6	108	20726	0.995103
-21.1	9	117	20720	0.994815
-21	7	124	20711	0.994383
-20.9	10	134	20704	0.994046
-20.8	12	146	20694	0.993566
-20.7	12	158	20682	0.99299
-20.6	11	169	20670	0.992414
-20.5	14	183	20659	0.991886
-20.4	13	196	20645	0.991214
-20.3	13	209	20632	0.99059
-20.2	13	222	20619	0.989965
-20.1	13	235	20606	0.989341
-20	16	251	20593	0.988717
-19.9	20	271	20577	0.987949
-19.8	11	282	20557	0.986989
-19.7	32	314	20546	0.986461
-19.6	15	329	20514	0.984924
-19.5	18	347	20499	0.984204
-19.4	13	360	20481	0.98334
-19.3	18	378	20468	0.982716
-19.2	22	400	20450	0.981851
-19.1	21	421	20428	0.980795
-19	30	451	20407	0.979787
-18.9	31	482	20377	0.978346
-18.8	26	508	20346	0.976858
-18.7	32	540	20320	0.97561
-18.6	35	575	20288	0.974073
-18.5	27	602	20253	0.972393
-18.4	31	633	20226	0.971097
-18.3	33	666	20195	0.969608
-18.2	29	695	20162	0.968024
-18.1	32	727	20133	0.966631
-18	31	758	20101	0.965095
-17.9	37	795	20070	0.963607
-17.8	32	827	20033	0.96183
-17.7	28	855	20001	0.960294
-17.6	40	895	19973	0.958949
-17.5	28	923	19933	0.957029
-17.4	41	964	19905	0.955685
-17.3	60	1024	19864	0.953716
-17.2	36	1060	19804	0.950835
-17.1	49	1109	19768	0.949107
-17	57	1166	19719	0.946754
-16.9	49	1215	19662	0.944018
-16.8	60	1275	19613	0.941665
-16.7	65	1340	19553	0.938784
-16.6	50	1390	19488	0.935664
-16.5	61	1451	19438	0.933263
-16.4	52	1503	19377	0.930334
-16.3	71	1574	19325	0.927838
-16.2	58	1632	19254	0.924429
-16.1	59	1691	19196	0.921644
-16	78	1769	19137	0.918811
-15.9	63	1832	19059	0.915066
-15.8	63	1895	18996	0.912041
-15.7	80	1975	18933	0.909017
-15.6	83	2058	18853	0.905176
-15.5	66	2124	18770	0.901191
-15.4	63	2187	18704	0.898022
-15.3	84	2271	18641	0.894997
-15.2	77	2348	18557	0.890964
-15.1	81	2429	18480	0.887267
-15	86	2515	18399	0.883378
-14.9	86	2601	18313	0.879249
-14.8	95	2696	18227	0.87512
-14.7	93	2789	18132	0.870559
-14.6	96	2885	18039	0.866094
-14.5	111	2996	17943	0.861485
-14.4	93	3089	17832	0.856155
-14.3	110	3199	17739	0.85169
-14.2	102	3301	17629	0.846409
-14.1	94	3395	17527	0.841511
-14	100	3495	17433	0.836998
-13.9	114	3609	17333	0.832197
-13.8	122	3731	17219	0.826724
-13.7	120	3851	17097	0.820866
-13.6	109	3960	16977	0.815105
-13.5	103	4063	16868	0.809871
-13.4	132	4195	16765	0.804926
-13.3	125	4320	16633	0.798588
-13.2	159	4479	16508	0.792587
-13.1	131	4610	16349	0.784953
-13	128	4738	16218	0.778663
-12.9	127	4865	16090	0.772518
-12.8	133	4998	15963	0.76642
-12.7	114	5112	15830	0.760035
-12.6	160	5272	15716	0.754561
-12.5	144	5416	15556	0.746879
-12.4	144	5560	15412	0.739965
-12.3	147	5707	15268	0.733052
-12.2	153	5860	15121	0.725994
-12.1	134	5994	14968	0.718648
-12	134	6128	14834	0.712214
-11.9	145	6273	14700	0.705781
-11.8	168	6441	14555	0.698819
-11.7	154	6595	14387	0.690753
-11.6	173	6768	14233	0.683359
-11.5	168	6936	14060	0.675053
-11.4	159	7095	13892	0.666987
-11.3	166	7261	13733	0.659353
-11.2	165	7426	13567	0.651383
-11.1	172	7598	13402	0.643461
-11	173	7771	13230	0.635203
-10.9	180	7951	13057	0.626896
-10.8	177	8128	12877	0.618254
-10.7	181	8309	12700	0.609756
-10.6	198	8507	12519	0.601066
-10.5	188	8695	12321	0.591559
-10.4	180	8875	12133	0.582533
-10.3	201	9076	11953	0.573891
-10.2	194	9270	11752	0.56424
-10.1	162	9432	11558	0.554926
-10	173	9605	11396	0.547148
-9.9	185	9790	11223	0.538842
-9.8	145	9935	11038	0.52996
-9.7	208	10143	10893	0.522998
-9.6	194	10337	10685	0.513011
-9.5	188	10525	10491	0.503697
-9.4	190	10715	10303	0.494671
-9.3	186	10901	10113	0.485548
-9.2	187	11088	9927	0.476618
-9.1	195	11283	9740	0.46764
-9	188	11471	9545	0.458277
-8.9	194	11665	9357	0.449251
-8.8	175	11840	9163	0.439937
-8.7	186	12026	8988	0.431534
-8.6	197	12223	8802	0.422604
-8.5	166	12389	8605	0.413146
-8.4	169	12558	8439	0.405176
-8.3	181	12739	8270	0.397062
-8.2	169	12908	8089	0.388371
-8.1	166	13074	7920	0.380257
-8	167	13241	7754	0.372287
-7.9	183	13424	7587	0.364269
-7.8	166	13590	7404	0.355483
-7.7	206	13796	7238	0.347513
-7.6	181	13977	7032	0.337622
-7.5	168	14145	6851	0.328932
-7.4	165	14310	6683	0.320866
-7.3	157	14467	6518	0.312944
-7.2	165	14632	6361	0.305406
-7.1	161	14793	6196	0.297484
-7	145	14938	6035	0.289754
-6.9	151	15089	5890	0.282792
-6.8	161	15250	5739	0.275543
-6.7	141	15391	5578	0.267813
-6.6	171	15562	5437	0.261043
-6.5	149	15711	5266	0.252833
-6.4	139	15850	5117	0.245679
-6.3	124	15974	4978	0.239005
-6.2	141	16115	4854	0.233052
-6.1	136	16251	4713	0.226282
-6	137	16388	4577	0.219752
-5.9	143	16531	4440	0.213175
-5.8	132	16663	4297	0.206309
-5.7	128	16791	4165	0.199971
-5.6	126	16917	4037	0.193826
-5.5	134	17051	3911	0.187776
-5.4	102	17153	3777	0.181342
-5.3	125	17278	3675	0.176445
-5.2	107	17385	3550	0.170444
-5.1	124	17509	3443	0.165306
-5	117	17626	3319	0.159353
-4.9	114	17740	3202	0.153735
-4.8	117	17857	3088	0.148262
-4.7	116	17973	2971	0.142645
-4.6	109	18082	2855	0.137075
-4.5	89	18171	2746	0.131842
-4.4	103	18274	2657	0.127569
-4.3	84	18358	2554	0.122623
-4.2	75	18433	2470	0.11859
-4.1	83	18516	2395	0.114989
-4	70	18586	2312	0.111004
-3.9	63	18649	2242	0.107644
-3.8	70	18719	2179	0.104619
-3.7	83	18802	2109	0.101258
-3.6	64	18866	2026	0.0972729
-3.5	68	18934	1962	0.0942001
-3.4	69	19003	1894	0.0909353
-3.3	71	19074	1825	0.0876224
-3.2	69	19143	1754	0.0842136
-3.1	81	19224	1685	0.0809007
-3	61	19285	1604	0.0770117
-2.9	49	19334	1543	0.074083
-2.8	56	19390	1494	0.0717304
