#score	occ	co	cco	dCDF
-25.7	1	1	6425	0.999844
-25.6	0	1	6425	0.999844
-25.5	0	1	6425	0.999844
-25.4	0	1	6425	0.999844
-25.3	0	1	6425	0.999844
-25.2	0	1	6425	0.999844
-25.1	0	1	6425	0.999844
-25	0	1	6425	0.999844
-24.9	0	1	6425	0.999844
-24.8	0	1	6425	0.999844
-24.7	0	1	6425	0.999844
-24.6	1	2	6424	0.999689
-24.5	1	3	6423	0.999533
-24.4	0	3	6423	0.999533
-24.3	0	3	6423	0.999533
-24.2	0	3	6423	0.999533
-24.1	0	3	6423	0.999533
-24	0	3	6423	0.999533
-23.9	0	3	6423	0.999533
-23.8	0	3	6423	0.999533
-23.7	0	3	6423	0.999533
-23.6	0	3	6423	0.999533
-23.5	0	3	6423	0.999533
-23.4	0	3	6423	0.999533
-23.3	0	3	6423	0.999533
-23.2	0	3	6423	0.999533
-23.1	0	3	6423	0.999533
-23	0	3	6423	0.999533
-22.9	0	3	6423	0.999533
-22.8	0	3	6423	0.999533
-22.7	1	4	6422	0.999378
-22.6	0	4	6422	0.999378
-22.5	2	6	6420	0.999066
-22.4	2	8	6418	0.998755
-22.3	0	8	6418	0.998755
-22.2	2	10	6416	0.998444
-22.1	1	11	6415	0.998288
-22	2	13	6413	0.997977
-21.9	3	16	6410	0.99751
-21.8	2	18	6408	0.997199
-21.7	1	19	6407	0.997043
-21.6	2	21	6405	0.996732
-21.5	2	23	6403	0.996421
-21.4	0	23	6403	0.996421
-21.3	1	24	6402	0.996265
-21.2	1	25	6401	0.99611
-21.1	0	25	6401	0.99611
-21	2	27	6399	0.995798
-20.9	1	28	6398	0.995643
-20.8	3	31	6395	0.995176
-20.7	2	33	6393	0.994865
-20.6	4	37	6389	0.994242
-20.5	4	41	6385	0.99362
-20.4	7	48	6378	0.99253
-20.3	1	49	6377	0.992375
-20.2	3	52	6374	0.991908
-20.1	3	55	6371	0.991441
-20	3	58	6368	0.990974
-19.9	7	65	6361	0.989885
-19.8	1	66	6360	0.989729
-19.7	5	71	6355	0.988951
-19.6	6	77	6349	0.988017
-19.5	6	83	6343	0.987084
-19.4	1	84	6342	0.986928
-19.3	2	86	6340	0.986617
-19.2	5	91	6335	0.985839
-19.1	1	92	6334	0.985683
-19	7	99	6327	0.984594
-18.9	8	107	6319	0.983349
-18.8	7	114	6312	0.98226
-18.7	8	122	6304	0.981015
-18.6	7	129	6297	0.979925
-18.5	6	135	6291	0.978992
-18.4	5	140	6286	0.978214
-18.3	10	150	6276	0.976657
-18.2	9	159	6267	0.975257
-18.1	8	167	6259	0.974012
-18	7	174	6252	0.972923
-17.9	11	185	6241	0.971211
-17.8	7	192	6234	0.970121
-17.7	6	198	6228	0.969188
-17.6	8	206	6220	0.967943
-17.5	9	215	6211	0.966542
-17.4	10	225	6201	0.964986
-17.3	17	242	6184	0.96234
-17.2	12	254	6172	0.960473
-17.1	9	263	6163	0.959073
-17	7	270	6156	0.957983
-16.9	13	283	6143	0.95596
-16.8	20	303	6123	0.952848
-16.7	20	323	6103	0.949735
-16.6	13	336	6090	0.947712
-16.5	15	351	6075	0.945378
-16.4	15	366	6060	0.943044
-16.3	14	380	6046	0.940865
-16.2	11	391	6035	0.939153
-16.1	15	406	6020	0.936819
-16	18	424	6002	0.934018
-15.9	21	445	5981	0.93075
-15.8	18	463	5963	0.927949
-15.7	16	479	5947	0.925459
-15.6	33	512	5914	0.920324
-15.5	17	529	5897	0.917678
-15.4	18	547	5879	0.914877
-15.3	17	564	5862	0.912232
-15.2	23	587	5839	0.908652
-15.1	26	613	5813	0.904606
-15	26	639	5787	0.90056
-14.9	24	663	5763	0.896825
-14.8	28	691	5735	0.892468
-14.7	19	710	5716	0.889511
-14.6	19	729	5697	0.886555
-14.5	36	765	5661	0.880952
-14.4	17	782	5644	0.878307
-14.3	39	821	5605	0.872238
-14.2	36	857	5569	0.866636
-14.1	31	888	5538	0.861811
-14	28	916	5510	0.857454
-13.9	39	955	5471	0.851385
-13.8	39	994	5432	0.845316
-13.7	48	1042	5384	0.837846
-13.6	36	1078	5348	0.832244
-13.5	25	1103	5323	0.828354
-13.4	43	1146	5280	0.821662
-13.3	29	1175	5251	0.817149
-13.2	46	1221	5205	0.809991
-13.1	34	1255	5171	0.8047
-13	37	1292	5134	0.798942
-12.9	27	1319	5107	0.79474
-12.8	40	1359	5067	0.788515
-12.7	34	1393	5033	0.783224
-12.6	52	1445	4981	0.775132
-12.5	38	1483	4943	0.769219
-12.4	38	1521	4905	0.763305
-12.3	45	1566	4860	0.756303
-12.2	49	1615	4811	0.748677
-12.1	29	1644	4782	0.744164
-12	44	1688	4738	0.737317
-11.9	41	1729	4697	0.730937
-11.8	49	1778	4648	0.723312
-11.7	43	1821	4605	0.71662
-11.6	42	1863	4563	0.710084
-11.5	49	1912	4514	0.702459
-11.4	55	1967	4459	0.6939
-11.3	55	2022	4404	0.685341
-11.2	56	2078	4348	0.676626
-11.1	53	2131	4295	0.668378
-11	49	2180	4246	0.660753
-10.9	57	2237	4189	0.651883
-10.8	56	2293	4133	0.643168
-10.7	54	2347	4079	0.634765
-10.6	58	2405	4021	0.625739
-10.5	67	2472	3954	0.615313
-10.4	56	2528	3898	0.606598
-10.3	64	2592	3834	0.596639
-10.2	66	2658	3768	0.586368
-10.1	47	2705	3721	0.579054
-10	56	2761	3665	0.570339
-9.9	60	2821	3605	0.561002
-9.8	45	2866	3560	0.553999
-9.7	72	2938	3488	0.542795
-9.6	59	2997	3429	0.533613
-9.5	52	3049	3377	0.525521
-9.4	51	3100	3326	0.517585
-9.3	69	3169	3257	0.506847
-9.2	49	3218	3208	0.499222
-9.1	66	3284	3142	0.488951
-9	67	3351	3075	0.478525
-8.9	69	3420	3006	0.467787
-8.8	53	3473	2953	0.459539
-8.7	61	3534	2892	0.450047
-8.6	52	3586	2840	0.441955
-8.5	49	3635	2791	0.434329
-8.4	67	3702	2724	0.423903
-8.3	68	3770	2656	0.413321
-8.2	53	3823	2603	0.405073
-8.1	55	3878	2548	0.396514
-8	43	3921	2505	0.389823
-7.9	61	3982	2444	0.38033
-7.8	57	4039	2387	0.37146
-7.7	75	4114	2312	0.359788
-7.6	57	4171	2255	0.350918
-7.5	53	4224	2202	0.34267
-7.4	66	4290	2136	0.3324
-7.3	48	4338	2088	0.32493
-7.2	53	4391	2035	0.316682
-7.1	40	4431	1995	0.310458
-7	54	4485	1941	0.302054
-6.9	62	4547	1879	0.292406
