#score	occ	co	cco	dCDF
-26.9	1	1	6425	0.999844
-26.8	0	1	6425	0.999844
-26.7	0	1	6425	0.999844
-26.6	0	1	6425	0.999844
-26.5	0	1	6425	0.999844
-26.4	0	1	6425	0.999844
-26.3	0	1	6425	0.999844
-26.2	0	1	6425	0.999844
-26.1	0	1	6425	0.999844
-26	0	1	6425	0.999844
-25.9	1	2	6424	0.999689
-25.8	0	2	6424	0.999689
-25.7	0	2	6424	0.999689
-25.6	0	2	6424	0.999689
-25.5	0	2	6424	0.999689
-25.4	0	2	6424	0.999689
-25.3	0	2	6424	0.999689
-25.2	0	2	6424	0.999689
-25.1	1	3	6423	0.999533
-25	0	3	6423	0.999533
-24.9	0	3	6423	0.999533
-24.8	0	3	6423	0.999533
-24.7	0	3	6423	0.999533
-24.6	0	3	6423	0.999533
-24.5	0	3	6423	0.999533
-24.4	0	3	6423	0.999533
-24.3	2	5	6421	0.999222
-24.2	0	5	6421	0.999222
-24.1	0	5	6421	0.999222
-24	0	5	6421	0.999222
-23.9	0	5	6421	0.999222
-23.8	3	8	6418	0.998755
-23.7	0	8	6418	0.998755
-23.6	0	8	6418	0.998755
-23.5	0	8	6418	0.998755
-23.4	1	9	6417	0.998599
-23.3	0	9	6417	0.998599
-23.2	1	10	6416	0.998444
-23.1	0	10	6416	0.998444
-23	2	12	6414	0.998133
-22.9	3	15	6411	0.997666
-22.8	2	17	6409	0.997354
-22.7	4	21	6405	0.996732
-22.6	0	21	6405	0.996732
-22.5	2	23	6403	0.996421
-22.4	0	23	6403	0.996421
-22.3	4	27	6399	0.995798
-22.2	1	28	6398	0.995643
-22.1	1	29	6397	0.995487
-22	1	30	6396	0.995331
-21.9	2	32	6394	0.99502
-21.8	3	35	6391	0.994553
-21.7	1	36	6390	0.994398
-21.6	0	36	6390	0.994398
-21.5	3	39	6387	0.993931
-21.4	2	41	6385	0.99362
-21.3	2	43	6383	0.993308
-21.2	0	43	6383	0.993308
-21.1	5	48	6378	0.99253
-21	0	48	6378	0.99253
-20.9	0	48	6378	0.99253
-20.8	4	52	6374	0.991908
-20.7	2	54	6372	0.991597
-20.6	1	55	6371	0.991441
-20.5	3	58	6368	0.990974
-20.4	1	59	6367	0.990819
-20.3	3	62	6364	0.990352
-20.2	6	68	6358	0.989418
-20.1	6	74	6352	0.988484
-20	1	75	6351	0.988329
-19.9	4	79	6347	0.987706
-19.8	5	84	6342	0.986928
-19.7	5	89	6337	0.98615
-19.6	7	96	6330	0.985061
-19.5	6	102	6324	0.984127
-19.4	4	106	6320	0.983505
-19.3	2	108	6318	0.983193
-19.2	10	118	6308	0.981637
-19.1	3	121	6305	0.98117
-19	6	127	6299	0.980237
-18.9	7	134	6292	0.979147
-18.8	12	146	6280	0.97728
-18.7	8	154	6272	0.976035
-18.6	5	159	6267	0.975257
-18.5	9	168	6258	0.973856
-18.4	6	174	6252	0.972923
-18.3	5	179	6247	0.972144
-18.2	10	189	6237	0.970588
-18.1	11	200	6226	0.968876
-18	14	214	6212	0.966698
-17.9	9	223	6203	0.965297
-17.8	7	230	6196	0.964208
-17.7	13	243	6183	0.962185
-17.6	4	247	6179	0.961562
-17.5	9	256	6170	0.960162
-17.4	14	270	6156	0.957983
-17.3	15	285	6141	0.955649
-17.2	18	303	6123	0.952848
-17.1	12	315	6111	0.95098
-17	14	329	6097	0.948802
-16.9	19	348	6078	0.945845
-16.8	10	358	6068	0.944289
-16.7	9	367	6059	0.942888
-16.6	15	382	6044	0.940554
-16.5	15	397	6029	0.93822
-16.4	23	420	6006	0.934641
-16.3	13	433	5993	0.932617
-16.2	22	455	5971	0.929194
-16.1	14	469	5957	0.927015
-16	19	488	5938	0.924059
-15.9	25	513	5913	0.920168
-15.8	20	533	5893	0.917056
-15.7	22	555	5871	0.913632
-15.6	16	571	5855	0.911142
-15.5	25	596	5830	0.907252
-15.4	26	622	5804	0.903206
-15.3	21	643	5783	0.899938
-15.2	38	681	5745	0.894024
-15.1	27	708	5718	0.889823
-15	22	730	5696	0.886399
-14.9	34	764	5662	0.881108
-14.8	33	797	5629	0.875973
-14.7	32	829	5597	0.870993
-14.6	29	858	5568	0.86648
-14.5	27	885	5541	0.862278
-14.4	22	907	5519	0.858855
-14.3	34	941	5485	0.853564
-14.2	29	970	5456	0.849051
-14.1	37	1007	5419	0.843293
-14	36	1043	5383	0.837691
-13.9	25	1068	5358	0.8338
-13.8	32	1100	5326	0.82882
-13.7	33	1133	5293	0.823685
-13.6	47	1180	5246	0.816371
-13.5	41	1221	5205	0.809991
-13.4	26	1247	5179	0.805945
-13.3	43	1290	5136	0.799253
-13.2	42	1332	5094	0.792717
-13.1	35	1367	5059	0.78727
-13	34	1401	5025	0.781979
-12.9	49	1450	4976	0.774354
-12.8	45	1495	4931	0.767351
-12.7	45	1540	4886	0.760349
-12.6	41	1581	4845	0.753968
-12.5	45	1626	4800	0.746965
-12.4	46	1672	4754	0.739807
-12.3	55	1727	4699	0.731248
-12.2	45	1772	4654	0.724245
-12.1	40	1812	4614	0.718021
-12	45	1857	4569	0.711018
-11.9	64	1921	4505	0.701058
-11.8	49	1970	4456	0.693433
-11.7	42	2012	4414	0.686897
-11.6	43	2055	4371	0.680205
-11.5	42	2097	4329	0.673669
-11.4	58	2155	4271	0.664644
-11.3	53	2208	4218	0.656396
-11.2	46	2254	4172	0.649237
-11.1	48	2302	4124	0.641768
-11	44	2346	4080	0.634921
-10.9	50	2396	4030	0.62714
-10.8	47	2443	3983	0.619826
-10.7	41	2484	3942	0.613445
-10.6	54	2538	3888	0.605042
-10.5	45	2583	3843	0.598039
-10.4	56	2639	3787	0.589325
-10.3	64	2703	3723	0.579365
-10.2	51	2754	3672	0.571429
-10.1	54	2808	3618	0.563025
-10	62	2870	3556	0.553377
-9.9	66	2936	3490	0.543106
-9.8	46	2982	3444	0.535948
-9.7	51	3033	3393	0.528011
-9.6	37	3070	3356	0.522253
-9.5	47	3117	3309	0.514939
-9.4	68	3185	3241	0.504357
-9.3	52	3237	3189	0.496265
-9.2	53	3290	3136	0.488017
-9.1	47	3337	3089	0.480703
-9	46	3383	3043	0.473545
-8.9	50	3433	2993	0.465764
-8.8	63	3496	2930	0.45596
-8.7	52	3548	2878	0.447868
-8.6	52	3600	2826	0.439776
-8.5	40	3640	2786	0.433551
-8.4	58	3698	2728	0.424525
-8.3	58	3756	2670	0.4155
-8.2	52	3808	2618	0.407407
-8.1	52	3860	2566	0.399315
-8	42	3902	2524	0.392779
