#weight	occ	cum	dcum	dCDF
<blockquote class='information'>	NA	0	14402	      1
<font color='#006600'><b>Information: </b>Input files<br>	NA	0	14402	      1
	NA	0	14402	      1
</blockquote><br><hr size=3>	NA	0	14402	      1
-24.9	1	1	14402	      1
-24.8	0	1	14401	0.999931
-24.7	0	1	14401	0.999931
-24.6	0	1	14401	0.999931
-24.5	0	1	14401	0.999931
-24.4	1	2	14401	0.999931
-24.3	0	2	14400	0.999861
-24.2	1	3	14400	0.999861
-24.1	0	3	14399	0.999792
-24	0	3	14399	0.999792
-23.9	3	6	14399	0.999792
-23.8	1	7	14396	0.999583
-23.7	2	9	14395	0.999514
-23.6	2	11	14393	0.999375
-23.5	1	12	14391	0.999236
-23.4	1	13	14390	0.999167
-23.3	2	15	14389	0.999097
-23.2	2	17	14387	0.998958
-23.1	2	19	14385	0.99882
-23	3	22	14383	0.998681
-22.9	3	25	14380	0.998472
-22.8	4	29	14377	0.998264
-22.7	3	32	14373	0.997986
-22.6	1	33	14370	0.997778
-22.5	3	36	14369	0.997709
-22.4	1	37	14366	 0.9975
-22.3	0	37	14365	0.997431
-22.2	4	41	14365	0.997431
-22.1	1	42	14361	0.997153
-22	2	44	14360	0.997084
-21.9	2	46	14358	0.996945
-21.8	7	53	14356	0.996806
-21.7	5	58	14349	0.99632
-21.6	4	62	14344	0.995973
-21.5	2	64	14340	0.995695
-21.4	4	68	14338	0.995556
-21.3	10	78	14334	0.995278
-21.2	5	83	14324	0.994584
-21.1	9	92	14319	0.994237
-21	5	97	14310	0.993612
-20.9	9	106	14305	0.993265
-20.8	9	115	14296	0.99264
-20.7	10	125	14287	0.992015
-20.6	7	132	14277	0.991321
-20.5	10	142	14270	0.990835
-20.4	6	148	14260	0.99014
-20.3	12	160	14254	0.989724
-20.2	10	170	14242	0.98889
-20.1	10	180	14232	0.988196
-20	13	193	14222	0.987502
-19.9	13	206	14209	0.986599
-19.8	10	216	14196	0.985696
-19.7	27	243	14186	0.985002
-19.6	9	252	14159	0.983127
-19.5	12	264	14150	0.982502
-19.4	12	276	14138	0.981669
-19.3	16	292	14126	0.980836
-19.2	17	309	14110	0.979725
-19.1	20	329	14093	0.978545
-19	23	352	14073	0.977156
-18.9	23	375	14050	0.975559
-18.8	19	394	14027	0.973962
-18.7	24	418	14008	0.972643
-18.6	28	446	13984	0.970976
-18.5	21	467	13956	0.969032
-18.4	26	493	13935	0.967574
-18.3	23	516	13909	0.965769
-18.2	20	536	13886	0.964172
-18.1	24	560	13866	0.962783
-18	24	584	13842	0.961117
-17.9	26	610	13818	0.95945
-17.8	25	635	13792	0.957645
-17.7	22	657	13767	0.955909
-17.6	32	689	13745	0.954381
-17.5	19	708	13713	0.952159
-17.4	31	739	13694	0.95084
-17.3	43	782	13663	0.948688
-17.2	24	806	13620	0.945702
-17.1	40	846	13596	0.944036
-17	50	896	13556	0.941258
-16.9	36	932	13506	0.937786
-16.8	40	972	13470	0.935287
-16.7	45	1017	13430	0.932509
-16.6	37	1054	13385	0.929385
