#score	occ	co	cco	dCDF
-24.9	1	1	14401	0.999931
-24.8	0	1	14401	0.999931
-24.7	0	1	14401	0.999931
-24.6	0	1	14401	0.999931
-24.5	0	1	14401	0.999931
-24.4	1	2	14400	0.999861
-24.3	0	2	14400	0.999861
-24.2	1	3	14399	0.999792
-24.1	0	3	14399	0.999792
-24	0	3	14399	0.999792
-23.9	3	6	14396	0.999583
-23.8	1	7	14395	0.999514
-23.7	2	9	14393	0.999375
-23.6	2	11	14391	0.999236
-23.5	1	12	14390	0.999167
-23.4	1	13	14389	0.999097
-23.3	2	15	14387	0.998958
-23.2	2	17	14385	0.99882
-23.1	2	19	14383	0.998681
-23	3	22	14380	0.998472
-22.9	3	25	14377	0.998264
-22.8	4	29	14373	0.997986
-22.7	3	32	14370	0.997778
-22.6	1	33	14369	0.997709
-22.5	3	36	14366	0.9975
-22.4	1	37	14365	0.997431
-22.3	0	37	14365	0.997431
-22.2	4	41	14361	0.997153
-22.1	1	42	14360	0.997084
-22	2	44	14358	0.996945
-21.9	2	46	14356	0.996806
-21.8	7	53	14349	0.99632
-21.7	5	58	14344	0.995973
-21.6	4	62	14340	0.995695
-21.5	2	64	14338	0.995556
-21.4	4	68	14334	0.995278
-21.3	10	78	14324	0.994584
-21.2	5	83	14319	0.994237
-21.1	9	92	14310	0.993612
-21	5	97	14305	0.993265
-20.9	9	106	14296	0.99264
-20.8	9	115	14287	0.992015
-20.7	10	125	14277	0.991321
-20.6	7	132	14270	0.990835
-20.5	10	142	14260	0.99014
-20.4	6	148	14254	0.989724
-20.3	12	160	14242	0.98889
-20.2	10	170	14232	0.988196
-20.1	10	180	14222	0.987502
-20	13	193	14209	0.986599
-19.9	13	206	14196	0.985696
-19.8	10	216	14186	0.985002
-19.7	27	243	14159	0.983127
-19.6	9	252	14150	0.982502
-19.5	12	264	14138	0.981669
-19.4	12	276	14126	0.980836
-19.3	16	292	14110	0.979725
-19.2	17	309	14093	0.978545
-19.1	20	329	14073	0.977156
-19	23	352	14050	0.975559
-18.9	23	375	14027	0.973962
-18.8	19	394	14008	0.972643
-18.7	24	418	13984	0.970976
-18.6	28	446	13956	0.969032
-18.5	21	467	13935	0.967574
-18.4	26	493	13909	0.965769
-18.3	23	516	13886	0.964172
-18.2	20	536	13866	0.962783
-18.1	24	560	13842	0.961117
-18	24	584	13818	0.95945
-17.9	26	610	13792	0.957645
-17.8	25	635	13767	0.955909
-17.7	22	657	13745	0.954381
-17.6	32	689	13713	0.952159
-17.5	19	708	13694	0.95084
-17.4	31	739	13663	0.948688
-17.3	43	782	13620	0.945702
-17.2	24	806	13596	0.944036
-17.1	40	846	13556	0.941258
-17	50	896	13506	0.937786
-16.9	36	932	13470	0.935287
-16.8	40	972	13430	0.932509
-16.7	45	1017	13385	0.929385
-16.6	37	1054	13348	0.926816
-16.5	46	1100	13302	0.923622
-16.4	37	1137	13265	0.921053
-16.3	57	1194	13208	0.917095
-16.2	47	1241	13161	0.913831
-16.1	44	1285	13117	0.910776
-16	60	1345	13057	0.90661
-15.9	42	1387	13015	0.903694
-15.8	45	1432	12970	0.900569
-15.7	64	1496	12906	0.896126
-15.6	50	1546	12856	0.892654
-15.5	49	1595	12807	0.889251
-15.4	45	1640	12762	0.886127
-15.3	67	1707	12695	0.881475
-15.2	54	1761	12641	0.877725
-15.1	55	1816	12586	0.873906
-15	60	1876	12526	0.86974
-14.9	62	1938	12464	0.865435
-14.8	67	2005	12397	0.860783
-14.7	74	2079	12323	0.855645
-14.6	77	2156	12246	0.850299
-14.5	75	2231	12171	0.845091
-14.4	76	2307	12095	0.839814
-14.3	71	2378	12024	0.834884
-14.2	66	2444	11958	0.830301
-14.1	63	2507	11895	0.825927
-14	72	2579	11823	0.820928
-13.9	75	2654	11748	0.81572
-13.8	83	2737	11665	0.809957
-13.7	72	2809	11593	0.804958
-13.6	73	2882	11520	0.799889
-13.5	78	2960	11442	0.794473
-13.4	89	3049	11353	0.788293
-13.3	96	3145	11257	0.781628
-13.2	113	3258	11144	0.773781
-13.1	97	3355	11047	0.767046
-13	91	3446	10956	0.760728
-12.9	100	3546	10856	0.753784
-12.8	93	3639	10763	0.747327
-12.7	80	3719	10683	0.741772
-12.6	108	3827	10575	0.734273
-12.5	106	3933	10469	0.726913
-12.4	106	4039	10363	0.719553
-12.3	102	4141	10261	0.71247
-12.2	104	4245	10157	0.705249
-12.1	105	4350	10052	0.697959
-12	90	4440	9962	0.691709
-11.9	104	4544	9858	0.684488
-11.8	119	4663	9739	0.676226
-11.7	111	4774	9628	0.668518
-11.6	131	4905	9497	0.659422
-11.5	119	5024	9378	0.65116
-11.4	104	5128	9274	0.643938
-11.3	111	5239	9163	0.636231
-11.2	109	5348	9054	0.628663
-11.1	119	5467	8935	0.6204
-11	124	5591	8811	0.61179
-10.9	123	5714	8688	0.60325
-10.8	121	5835	8567	0.594848
-10.7	127	5962	8440	0.58603
-10.6	140	6102	8300	0.576309
-10.5	121	6223	8179	0.567907
-10.4	124	6347	8055	0.559297
-10.3	137	6484	7918	0.549785
-10.2	128	6612	7790	0.540897
-10.1	115	6727	7675	0.532912
-10	117	6844	7558	0.524788
-9.9	125	6969	7433	0.516109
-9.8	100	7069	7333	0.509165
-9.7	136	7205	7197	0.499722
-9.6	135	7340	7062	0.490349
-9.5	136	7476	6926	0.480905
-9.4	139	7615	6787	0.471254
-9.3	117	7732	6670	0.46313
-9.2	138	7870	6532	0.453548
-9.1	129	7999	6403	0.444591
-9	121	8120	6282	0.436189
-8.9	125	8245	6157	0.42751
-8.8	122	8367	6035	0.419039
-8.7	125	8492	5910	0.41036
-8.6	145	8637	5765	0.400292
-8.5	117	8754	5648	0.392168
-8.4	102	8856	5546	0.385085
-8.3	113	8969	5433	0.377239
-8.2	116	9085	5317	0.369185
-8.1	111	9196	5206	0.361478
-8	124	9320	5082	0.352868
-7.9	122	9442	4960	0.344397
-7.8	109	9551	4851	0.336828
-7.7	131	9682	4720	0.327732
-7.6	124	9806	4596	0.319122
-7.5	115	9921	4481	0.311137
-7.4	99	10020	4382	0.304263
-7.3	109	10129	4273	0.296695
-7.2	112	10241	4161	0.288918
-7.1	121	10362	4040	0.280517
-7	91	10453	3949	0.274198
-6.9	89	10542	3860	0.268018
-6.8	108	10650	3752	0.260519
-6.7	100	10750	3652	0.253576
-6.6	108	10858	3544	0.246077
-6.5	99	10957	3445	0.239203
-6.4	88	11045	3357	0.233093
-6.3	81	11126	3276	0.227468
-6.2	97	11223	3179	0.220733
-6.1	89	11312	3090	0.214554
-6	86	11398	3004	0.208582
-5.9	97	11495	2907	0.201847
-5.8	92	11587	2815	0.195459
-5.7	88	11675	2727	0.189349
-5.6	90	11765	2637	0.1831
-5.5	95	11860	2542	0.176503
-5.4	65	11925	2477	0.17199
-5.3	80	12005	2397	0.166435
-5.2	73	12078	2324	0.161366
-5.1	84	12162	2240	0.155534
-5	80	12242	2160	0.149979
-4.9	75	12317	2085	0.144772
-4.8	74	12391	2011	0.139633
-4.7	86	12477	1925	0.133662
-4.6	74	12551	1851	0.128524
-4.5	57	12608	1794	0.124566
-4.4	68	12676	1726	0.119844
-4.3	56	12732	1670	0.115956
-4.2	50	12782	1620	0.112484
-4.1	63	12845	1557	0.10811
-4	47	12892	1510	0.104847
-3.9	46	12938	1464	0.101653
-3.8	42	12980	1422	0.0987363
-3.7	60	13040	1362	0.0945702
-3.6	43	13083	1319	0.0915845
-3.5	50	13133	1269	0.0881128
-3.4	46	13179	1223	0.0849188
-3.3	43	13222	1180	0.0819331
-3.2	45	13267	1135	0.0788085
-3.1	62	13329	1073	0.0745035
