#score	occ	co	cco	dCDF
-25.9	1	1	14401	0.999931
-25.8	0	1	14401	0.999931
-25.7	0	1	14401	0.999931
-25.6	1	2	14400	0.999861
-25.5	0	2	14400	0.999861
-25.4	0	2	14400	0.999861
-25.3	0	2	14400	0.999861
-25.2	0	2	14400	0.999861
-25.1	0	2	14400	0.999861
-25	0	2	14400	0.999861
-24.9	0	2	14400	0.999861
-24.8	0	2	14400	0.999861
-24.7	1	3	14399	0.999792
-24.6	1	4	14398	0.999722
-24.5	1	5	14397	0.999653
-24.4	3	8	14394	0.999445
-24.3	2	10	14392	0.999306
-24.2	0	10	14392	0.999306
-24.1	2	12	14390	0.999167
-24	2	14	14388	0.999028
-23.9	2	16	14386	0.998889
-23.8	0	16	14386	0.998889
-23.7	1	17	14385	0.99882
-23.6	2	19	14383	0.998681
-23.5	3	22	14380	0.998472
-23.4	1	23	14379	0.998403
-23.3	2	25	14377	0.998264
-23.2	0	25	14377	0.998264
-23.1	8	33	14369	0.997709
-23	3	36	14366	0.9975
-22.9	4	40	14362	0.997223
-22.8	2	42	14360	0.997084
-22.7	2	44	14358	0.996945
-22.6	3	47	14355	0.996737
-22.5	4	51	14351	0.996459
-22.4	6	57	14345	0.996042
-22.3	3	60	14342	0.995834
-22.2	11	71	14331	0.99507
-22.1	5	76	14326	0.994723
-22	7	83	14319	0.994237
-21.9	4	87	14315	0.993959
-21.8	3	90	14312	0.993751
-21.7	7	97	14305	0.993265
-21.6	5	102	14300	0.992918
-21.5	5	107	14295	0.99257
-21.4	6	113	14289	0.992154
-21.3	10	123	14279	0.99146
-21.2	8	131	14271	0.990904
-21.1	7	138	14264	0.990418
-21	10	148	14254	0.989724
-20.9	6	154	14248	0.989307
-20.8	5	159	14243	0.98896
-20.7	11	170	14232	0.988196
-20.6	8	178	14224	0.987641
-20.5	15	193	14209	0.986599
-20.4	8	201	14201	0.986044
-20.3	11	212	14190	0.98528
-20.2	11	223	14179	0.984516
-20.1	16	239	14163	0.983405
-20	17	256	14146	0.982225
-19.9	14	270	14132	0.981253
-19.8	20	290	14112	0.979864
-19.7	13	303	14099	0.978961
-19.6	13	316	14086	0.978059
-19.5	18	334	14068	0.976809
-19.4	17	351	14051	0.975628
-19.3	18	369	14033	0.974379
-19.2	18	387	14015	0.973129
-19.1	19	406	13996	0.971809
-19	28	434	13968	0.969865
-18.9	14	448	13954	0.968893
-18.8	18	466	13936	0.967643
-18.7	28	494	13908	0.965699
-18.6	22	516	13886	0.964172
-18.5	22	538	13864	0.962644
-18.4	27	565	13837	0.960769
-18.3	30	595	13807	0.958686
-18.2	22	617	13785	0.957159
-18.1	29	646	13756	0.955145
-18	36	682	13720	0.952645
-17.9	32	714	13688	0.950424
-17.8	40	754	13648	0.947646
-17.7	30	784	13618	0.945563
-17.6	28	812	13590	0.943619
-17.5	39	851	13551	0.940911
-17.4	35	886	13516	0.938481
-17.3	35	921	13481	0.936051
-17.2	38	959	13443	0.933412
-17.1	39	998	13404	0.930704
-17	31	1029	13373	0.928552
-16.9	31	1060	13342	0.926399
-16.8	48	1108	13294	0.923066
-16.7	36	1144	13258	0.920567
-16.6	46	1190	13212	0.917373
-16.5	47	1237	13165	0.914109
-16.4	44	1281	13121	0.911054
-16.3	48	1329	13073	0.907721
-16.2	38	1367	13035	0.905083
-16.1	49	1416	12986	0.90168
-16	42	1458	12944	0.898764
-15.9	68	1526	12876	0.894042
-15.8	37	1563	12839	0.891473
-15.7	54	1617	12785	0.887724
-15.6	51	1668	12734	0.884183
-15.5	60	1728	12674	0.880017
-15.4	55	1783	12619	0.876198
-15.3	47	1830	12572	0.872934
-15.2	48	1878	12524	0.869601
-15.1	66	1944	12458	0.865019
-15	72	2016	12386	0.860019
-14.9	60	2076	12326	0.855853
-14.8	86	2162	12240	0.849882
-14.7	63	2225	12177	0.845508
-14.6	78	2303	12099	0.840092
-14.5	74	2377	12025	0.834953
-14.4	74	2451	11951	0.829815
-14.3	84	2535	11867	0.823983
-14.2	83	2618	11784	0.81822
-14.1	63	2681	11721	0.813845
-14	68	2749	11653	0.809124
-13.9	72	2821	11581	0.804124
-13.8	88	2909	11493	0.798014
-13.7	74	2983	11419	0.792876
-13.6	77	3060	11342	0.78753
-13.5	87	3147	11255	0.781489
-13.4	82	3229	11173	0.775795
-13.3	88	3317	11085	0.769685
-13.2	105	3422	10980	0.762394
-13.1	79	3501	10901	0.756909
-13	112	3613	10789	0.749132
-12.9	89	3702	10700	0.742952
-12.8	90	3792	10610	0.736703
-12.7	93	3885	10517	0.730246
-12.6	105	3990	10412	0.722955
-12.5	112	4102	10300	0.715178
-12.4	79	4181	10221	0.709693
-12.3	104	4285	10117	0.702472
-12.2	85	4370	10032	0.69657
-12.1	91	4461	9941	0.690251
-12	111	4572	9830	0.682544
-11.9	111	4683	9719	0.674837
-11.8	99	4782	9620	0.667963
-11.7	91	4873	9529	0.661644
-11.6	111	4984	9418	0.653937
-11.5	113	5097	9305	0.646091
-11.4	107	5204	9198	0.638661
-11.3	111	5315	9087	0.630954
-11.2	113	5428	8974	0.623108
-11.1	120	5548	8854	0.614776
-11	116	5664	8738	0.606721
-10.9	116	5780	8622	0.598667
-10.8	132	5912	8490	0.589501
-10.7	113	6025	8377	0.581655
-10.6	113	6138	8264	0.573809
-10.5	121	6259	8143	0.565408
-10.4	115	6374	8028	0.557423
-10.3	118	6492	7910	0.549229
-10.2	133	6625	7777	0.539994
-10.1	110	6735	7667	0.532357
-10	108	6843	7559	0.524858
-9.9	103	6946	7456	0.517706
-9.8	112	7058	7344	0.509929
-9.7	111	7169	7233	0.502222
-9.6	131	7300	7102	0.493126
-9.5	137	7437	6965	0.483613
-9.4	109	7546	6856	0.476045
-9.3	104	7650	6752	0.468824
-9.2	123	7773	6629	0.460283
-9.1	106	7879	6523	0.452923
-9	130	8009	6393	0.443897
-8.9	116	8125	6277	0.435842
-8.8	98	8223	6179	0.429038
-8.7	121	8344	6058	0.420636
-8.6	136	8480	5922	0.411193
-8.5	104	8584	5818	0.403972
-8.4	118	8702	5700	0.395778
-8.3	106	8808	5594	0.388418
-8.2	114	8922	5480	0.380503
-8.1	117	9039	5363	0.372379
-8	131	9170	5232	0.363283
-7.9	123	9293	5109	0.354742
-7.8	108	9401	5001	0.347243
-7.7	98	9499	4903	0.340439
-7.6	103	9602	4800	0.333287
-7.5	132	9734	4668	0.324122
-7.4	99	9833	4569	0.317248
-7.3	124	9957	4445	0.308638
-7.2	117	10074	4328	0.300514
-7.1	113	10187	4215	0.292668
-7	106	10293	4109	0.285308
-6.9	92	10385	4017	0.27892
-6.8	91	10476	3926	0.272601
-6.7	109	10585	3817	0.265033
-6.6	115	10700	3702	0.257048
-6.5	103	10803	3599	0.249896
-6.4	87	10890	3512	0.243855
-6.3	84	10974	3428	0.238022
-6.2	99	11073	3329	0.231148
