#Pvalue	score_theor	score_CRP_binding_sites	NWD_CRP_binding_sites_vs_theor
1.0e+00	-21.4	-21.9	-0.0227272727272727
9.9e-01	-19.7	-19.6	0.00454545454545445
9.8e-01	-18.7	-18.6	0.00454545454545445
9.7e-01	-18	-17.9	0.00454545454545461
9.6e-01	-17.4	-17.3	0.00454545454545445
9.5e-01	-16.9	-16.9	0
9.4e-01	-16.5	-16.5	0
9.3e-01	-16.1	-16.1	0
9.2e-01	-15.8	-15.8	0
9.1e-01	-15.5	-15.5	0
9.0e-01	-15.2	-15.3	-0.00454545454545461
8.9e-01	-14.9	-15	-0.00454545454545453
8.8e-01	-14.7	-14.8	-0.00454545454545461
8.7e-01	-14.4	-14.6	-0.00909090909090906
8.6e-01	-14.2	-14.4	-0.00909090909090914
8.5e-01	-14	-14.2	-0.00909090909090906
8.4e-01	-13.8	-14	-0.00909090909090906
8.3e-01	-13.6	-13.8	-0.00909090909090914
8.2e-01	-13.4	-13.6	-0.00909090909090906
8.1e-01	-13.2	-13.4	-0.00909090909090914
8.0e-01	-13.1	-13.3	-0.00909090909090914
7.9e-01	-12.9	-13.1	-0.00909090909090906
7.8e-01	-12.7	-13	-0.0136363636363637
7.7e-01	-12.6	-12.8	-0.00909090909090914
7.6e-01	-12.4	-12.7	-0.0136363636363636
7.5e-01	-12.3	-12.5	-0.00909090909090906
7.4e-01	-12.1	-12.4	-0.0136363636363637
7.3e-01	-12	-12.3	-0.0136363636363637
7.2e-01	-11.8	-12.1	-0.0136363636363636
7.1e-01	-11.7	-12	-0.0136363636363637
7.0e-01	-11.5	-11.9	-0.0181818181818182
6.9e-01	-11.4	-11.7	-0.0136363636363636
6.8e-01	-11.3	-11.6	-0.0136363636363636
6.7e-01	-11.1	-11.5	-0.0181818181818182
6.6e-01	-11	-11.3	-0.0136363636363637
6.5e-01	-10.9	-11.2	-0.0136363636363636
6.4e-01	-10.8	-11.1	-0.0136363636363636
6.3e-01	-10.6	-10.9	-0.0136363636363637
6.2e-01	-10.5	-10.8	-0.0136363636363637
6.1e-01	-10.4	-10.6	-0.00909090909090906
6.0e-01	-10.3	-10.5	-0.00909090909090906
5.9e-01	-10.1	-10.4	-0.0136363636363637
5.8e-01	-10	-10.3	-0.0136363636363637
5.7e-01	-9.9	-10.2	-0.0136363636363636
5.6e-01	-9.8	-10.1	-0.0136363636363636
5.5e-01	-9.7	-10	-0.0136363636363637
5.4e-01	-9.5	-9.8	-0.0136363636363637
5.3e-01	-9.4	-9.7	-0.0136363636363636
5.2e-01	-9.3	-9.6	-0.0136363636363636
5.1e-01	-9.2	-9.5	-0.0136363636363637
5.0e-01	-9.1	-9.3	-0.00909090909090914
4.9e-01	-8.9	-9.2	-0.0136363636363636
4.8e-01	-8.8	-9.1	-0.0136363636363636
4.7e-01	-8.7	-8.9	-0.00909090909090914
4.6e-01	-8.6	-8.8	-0.00909090909090914
4.5e-01	-8.5	-8.7	-0.00909090909090906
4.4e-01	-8.4	-8.6	-0.00909090909090906
4.3e-01	-8.2	-8.5	-0.0136363636363637
4.2e-01	-8.1	-8.3	-0.00909090909090914
4.1e-01	-8	-8.2	-0.00909090909090906
4.0e-01	-7.9	-8.1	-0.00909090909090906
3.9e-01	-7.8	-7.9	-0.00454545454545457
3.8e-01	-7.6	-7.8	-0.0090909090909091
3.7e-01	-7.5	-7.6	-0.00454545454545453
3.6e-01	-7.4	-7.5	-0.00454545454545453
3.5e-01	-7.3	-7.3	0
3.4e-01	-7.1	-7.2	-0.00454545454545457
3.3e-01	-7	-7.1	-0.00454545454545453
3.2e-01	-6.9	-6.9	0
3.1e-01	-6.8	-6.7	0.00454545454545453
3.0e-01	-6.6	-6.5	0.00454545454545453
2.9e-01	-6.5	-6.4	0.00454545454545453
2.8e-01	-6.3	-6.2	0.00454545454545453
2.7e-01	-6.2	-6.1	0.00454545454545457
2.6e-01	-6.1	-5.9	0.00909090909090906
