#Pvalue	score_theor	score_LexA_peaks	NWD_LexA_peaks_vs_theor
1.0e+00	-21.4	-22.2	-0.0363636363636364
9.9e-01	-19.7	-20.3	-0.0272727272727273
9.8e-01	-18.7	-19.4	-0.0318181818181818
9.7e-01	-18	-18.7	-0.0318181818181818
9.6e-01	-17.4	-18.1	-0.0318181818181819
9.5e-01	-16.9	-17.7	-0.0363636363636364
9.4e-01	-16.5	-17.3	-0.0363636363636364
9.3e-01	-16.1	-16.9	-0.0363636363636362
9.2e-01	-15.8	-16.6	-0.0363636363636364
9.1e-01	-15.5	-16.2	-0.0318181818181818
9.0e-01	-15.2	-16	-0.0363636363636364
8.9e-01	-14.9	-15.7	-0.0363636363636363
8.8e-01	-14.7	-15.4	-0.0318181818181819
8.7e-01	-14.4	-15.1	-0.0318181818181818
8.6e-01	-14.2	-14.9	-0.0318181818181819
8.5e-01	-14	-14.7	-0.0318181818181818
8.4e-01	-13.8	-14.6	-0.0363636363636363
8.3e-01	-13.6	-14.4	-0.0363636363636364
8.2e-01	-13.4	-14.2	-0.0363636363636363
8.1e-01	-13.2	-14	-0.0363636363636364
8.0e-01	-13.1	-13.8	-0.0318181818181819
7.9e-01	-12.9	-13.6	-0.0318181818181818
7.8e-01	-12.7	-13.4	-0.0318181818181819
7.7e-01	-12.6	-13.3	-0.0318181818181819
7.6e-01	-12.4	-13.1	-0.0318181818181818
7.5e-01	-12.3	-13	-0.0318181818181818
7.4e-01	-12.1	-12.8	-0.0318181818181819
7.3e-01	-12	-12.7	-0.0318181818181818
7.2e-01	-11.8	-12.5	-0.0318181818181818
7.1e-01	-11.7	-12.4	-0.0318181818181819
7.0e-01	-11.5	-12.2	-0.0318181818181818
6.9e-01	-11.4	-12.1	-0.0318181818181818
6.8e-01	-11.3	-12	-0.0318181818181818
6.7e-01	-11.1	-11.8	-0.0318181818181819
6.6e-01	-11	-11.7	-0.0318181818181818
6.5e-01	-10.9	-11.5	-0.0272727272727273
6.4e-01	-10.8	-11.4	-0.0272727272727273
6.3e-01	-10.6	-11.3	-0.0318181818181819
6.2e-01	-10.5	-11.2	-0.0318181818181818
6.1e-01	-10.4	-11	-0.0272727272727273
6.0e-01	-10.3	-10.9	-0.0272727272727273
5.9e-01	-10.1	-10.8	-0.0318181818181819
5.8e-01	-10	-10.7	-0.0318181818181818
5.7e-01	-9.9	-10.5	-0.0272727272727273
5.6e-01	-9.8	-10.4	-0.0272727272727273
5.5e-01	-9.7	-10.3	-0.0272727272727273
5.4e-01	-9.5	-10.2	-0.0318181818181818
5.3e-01	-9.4	-10.1	-0.0318181818181818
5.2e-01	-9.3	-9.9	-0.0272727272727273
5.1e-01	-9.2	-9.8	-0.0272727272727273
5.0e-01	-9.1	-9.7	-0.0272727272727273
4.9e-01	-8.9	-9.6	-0.0318181818181818
4.8e-01	-8.8	-9.4	-0.0272727272727273
4.7e-01	-8.7	-9.3	-0.0272727272727273
4.6e-01	-8.6	-9.2	-0.0272727272727273
4.5e-01	-8.5	-9.1	-0.0272727272727273
4.4e-01	-8.4	-8.9	-0.0227272727272727
4.3e-01	-8.2	-8.8	-0.0272727272727273
4.2e-01	-8.1	-8.7	-0.0272727272727273
4.1e-01	-8	-8.6	-0.0272727272727273
4.0e-01	-7.9	-8.4	-0.0227272727272727
3.9e-01	-7.8	-8.3	-0.0227272727272728
3.8e-01	-7.6	-8.2	-0.0272727272727273
3.7e-01	-7.5	-8.1	-0.0272727272727273
3.6e-01	-7.4	-8	-0.0272727272727273
3.5e-01	-7.3	-7.8	-0.0227272727272727
3.4e-01	-7.1	-7.7	-0.0272727272727273
