; matrix-distrib  -v 1 -m $RSAT/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/CRP.RegulonDB2012/matrix-quality_2018-03-21.175002_CRP.RegulonDB2012_matrix.tab -matrix_format tab -pseudo 1 -bgfile $RSAT/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/matrix-quality_2018-03-21.1750022nt_upstream-noorf_Escherichia_coli_GCF_000005845.2_ASM584v2-ovlp-1str.freq.gz_inclusive.tab -bg_format inclusive -bg_pseudo 0.01 -decimals 1 -o $RSAT/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/CRP.RegulonDB2012/matrix-quality_2018-03-21.175002_CRP.RegulonDB2012_theor_score_distrib.tab
; Input files
;	bgfile	/space23/rsat/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/matrix-quality_2018-03-21.1750022nt_upstream-noorf_Escherichia_coli_GCF_000005845.2_ASM584v2-ovlp-1str.freq.gz_inclusive.tab
; Output files
;	output	/space23/rsat/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/CRP.RegulonDB2012/matrix-quality_2018-03-21.175002_CRP.RegulonDB2012_theor_score_distrib.tab
; Background model
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29114
;		c	0.20781
;		g	0.20402
;		t	0.29702
;
; Matrix: matrix-quality_2018-03-21
;
; Theoretical distribution of weight probabilities
;	1	weight      	log-likelihood score: w=P(S|M)/P(S|B)
;	2	proba       	probability density function: P(W=w)
;	3	cum         	cumulative density function: P(W <= w)
;	4	Pval        	P-value = inverse cumulative density function: Pval = P(W >= w)
;	5	ln_Pval     	natural logarithm of the P-value
;	6	log_P       	base 10 logarithm of the P-value
;	7	sig         	significance: sig = -log10(Pval)
#weight	proba	cum	Pval	ln_Pval	log_P	sig
-31.8	NA	0.0e+00	1.0e+00	0.000	0	0.000
-31.7	3.5e-14	3.5e-14	1.0e+00	0.000	0	0.000
-31.6	3.0e-13	3.3e-13	1.0e+00	-0.000	0	0.000
-31.5	1.1e-12	1.4e-12	1.0e+00	-0.000	0	0.000
-31.4	3.2e-12	4.6e-12	1.0e+00	-0.000	0	0.000
-31.3	5.4e-12	1.0e-11	1.0e+00	-0.000	0	0.000
-31.2	1.1e-11	2.1e-11	1.0e+00	-0.000	0	0.000
-31.1	2.2e-11	4.4e-11	1.0e+00	-0.000	0	0.000
-31.0	3.2e-11	7.6e-11	1.0e+00	-0.000	0	0.000
-30.9	6.8e-11	1.4e-10	1.0e+00	-0.000	0	0.000
-30.8	9.8e-11	2.4e-10	1.0e+00	-0.000	0	0.000
-30.7	1.3e-10	3.8e-10	1.0e+00	-0.000	0	0.000
-30.6	2.6e-10	6.3e-10	1.0e+00	-0.000	0	0.000
-30.5	3.1e-10	9.4e-10	1.0e+00	-0.000	0	0.000
-30.4	5.6e-10	1.5e-09	1.0e+00	-0.000	0	0.000
-30.3	6.6e-10	2.2e-09	1.0e+00	-0.000	0	0.000
-30.2	1.0e-09	3.2e-09	1.0e+00	-0.000	0	0.000
-30.1	1.6e-09	4.8e-09	1.0e+00	-0.000	0	0.000
-30.0	1.9e-09	6.7e-09	1.0e+00	-0.000	0	0.000
-29.9	3.1e-09	9.8e-09	1.0e+00	-0.000	0	0.000
-29.8	3.9e-09	1.4e-08	1.0e+00	-0.000	0	0.000
-29.7	4.7e-09	1.8e-08	1.0e+00	-0.000	0	0.000
-29.6	7.8e-09	2.6e-08	1.0e+00	-0.000	0	0.000
-29.5	8.5e-09	3.5e-08	1.0e+00	-0.000	0	0.000
-29.4	1.4e-08	4.8e-08	1.0e+00	-0.000	0	0.000
-29.3	1.5e-08	6.3e-08	1.0e+00	-0.000	0	0.000
