#key	matrix-quality_2018-03-21.175002_LexA.RegulonDB2012_score_distrib_CRP_binding_sites_nwd.tab	matrix-quality_2018-03-21.175002_LexA.RegulonDB2012_score_distrib_LexA_peaks_nwd.tab
0.00014	0.13	0.57
0.00021	<NULL>	0.57
0.00035	<NULL>	0.555
0.00057	0.02	<NULL>
0.00071	0.025	<NULL>
0.00076	<NULL>	0.515
0.001	<NULL>	0.44
0.0011	0.005	0.42
0.0012	<NULL>	0.415
0.0013	0.015	0.39
0.0014	-0.005	0.375
0.0015	<NULL>	0.29
0.0016	0	<NULL>
0.0017	0	0.215
0.0018	0	0.175
0.0019	<NULL>	0.165
0.002	-0.015	0.15
0.0021	<NULL>	0.115
0.0022	<NULL>	0.115
0.0023	<NULL>	0.11
0.0025	<NULL>	0.095
0.0026	0	0.09
0.0027	-0.01	<NULL>
0.0029	<NULL>	0.08
0.003	-0.01	0.08
0.0032	<NULL>	0.07
0.0033	-0.01	<NULL>
0.0035	<NULL>	0.05
0.0037	<NULL>	0.05
0.0044	0	0.05
0.0049	<NULL>	0.04
0.0054	-0.01	0.035
0.0059	<NULL>	0.035
0.0061	-0.005	0.035
0.0067	-0.005	<NULL>
0.007	-0.005	0.025
0.0073	<NULL>	0.025
0.008	<NULL>	0.02
0.0084	-0.005	<NULL>
0.0088	<NULL>	0.02
0.0091	<NULL>	0.02
0.01	0	0.02
0.011	0	0.015
0.012	0	0.01
0.013	0	0.015
0.014	-0.005	0.02
0.015	0	0.015
0.016	0	0.00999999999999999
0.017	0	0.01
0.018	-0.00499999999999998	0.005
0.019	-0.005	0.005
0.02	-0.01	0.005
0.021	-0.01	0.00499999999999998
0.022	-0.01	0.00499999999999998
0.023	-0.00999999999999996	0.00500000000000003
0.024	-0.01	0.00499999999999998
0.025	-0.01	0
0.026	-0.01	<NULL>
0.027	<NULL>	0.00499999999999998
0.028	-0.00999999999999996	0
0.029	<NULL>	0
0.03	-0.00500000000000003	0
0.031	-0.01	0
0.032	-0.01	0
0.033	-0.00999999999999996	0
0.034	-0.01	0
0.036	-0.015	-0.00500000000000003
0.037	-0.015	-0.00499999999999998
0.038	-0.015	-0.00500000000000003
0.039	-0.015	<NULL>
0.041	-0.02	-0.00499999999999998
0.042	<NULL>	-0.00500000000000003
0.044	-0.02	<NULL>
0.045	<NULL>	-0.00500000000000003
0.047	<NULL>	-0.00499999999999998
0.048	-0.015	<NULL>
0.05	-0.015	-0.00500000000000003
0.052	<NULL>	-0.00499999999999998
0.053	-0.015	-0.00500000000000003
0.055	<NULL>	-0.00499999999999998
0.057	<NULL>	-0.00499999999999998
0.059	<NULL>	-0.01
0.061	-0.02	-0.01
0.063	-0.02	-0.01
0.067	-0.02	-0.01
0.071	-0.02	-0.01
0.073	-0.02	-0.01
0.075	-0.02	<NULL>
0.077	-0.02	<NULL>
0.079	-0.02	-0.0100000000000001
0.082	-0.02	<NULL>
0.087	-0.02	<NULL>
0.092	<NULL>	-0.015
0.097	-0.0199999999999999	-0.0149999999999999
0.1	-0.025	-0.02
0.11	-0.025	-0.02
0.12	-0.02	-0.02
0.13	-0.0199999999999999	-0.0149999999999999
0.14	-0.02	-0.02
0.15	-0.02	-0.02
0.16	-0.025	-0.02
0.17	-0.02	-0.02
0.18	-0.02	-0.02
0.19	-0.0149999999999999	-0.0149999999999999
0.2	-0.015	-0.02
0.21	-0.0149999999999999	-0.025
0.22	-0.015	-0.02
0.23	-0.0149999999999999	-0.0199999999999999
0.24	-0.015	-0.025
0.25	-0.015	-0.025
0.26	-0.0149999999999999	-0.025
0.27	-0.015	-0.025
0.28	-0.02	-0.0300000000000001
0.29	-0.02	-0.03
0.3	-0.02	-0.025
0.31	-0.0199999999999999	-0.025
0.32	-0.015	-0.025
0.33	-0.015	-0.025
0.34	-0.0149999999999999	-0.025
0.35	-0.015	-0.025
0.36	-0.015	-0.025
0.37	-0.0149999999999999	-0.03
0.38	-0.015	-0.03
0.39	-0.0100000000000001	-0.0300000000000001
0.4	-0.0149999999999999	-0.03
0.41	-0.015	-0.0300000000000001
0.42	-0.015	-0.0350000000000001
0.43	-0.00999999999999996	-0.0299999999999999
0.44	-0.0149999999999999	-0.0350000000000001
0.45	-0.0149999999999999	-0.035
0.46	-0.00999999999999996	-0.0299999999999999
0.47	-0.0100000000000001	-0.0350000000000001
0.48	-0.00999999999999996	-0.035
0.49	-0.00999999999999996	-0.035
0.5	-0.0100000000000001	-0.0350000000000001
0.51	-0.00499999999999989	-0.0299999999999999
0.52	-0.00500000000000007	-0.035
0.53	0	-0.0300000000000001
0.54	-0.00500000000000007	-0.035
0.55	0	-0.0300000000000001
0.56	-0.00499999999999989	-0.035
0.57	0	-0.0300000000000001
0.58	-0.00499999999999989	-0.035
0.59	-0.00499999999999989	-0.035
0.6	-0.00500000000000007	-0.0350000000000001
0.61	-0.00499999999999989	-0.035
0.62	0	-0.0299999999999999
0.63	-0.00500000000000007	-0.0350000000000001
0.64	0	-0.035
0.65	0	-0.0299999999999999
0.66	-0.00500000000000007	-0.0350000000000001
0.67	0	-0.035
0.68	0	-0.0299999999999999
0.69	0	-0.0350000000000001
0.7	0	-0.035
0.71	0	-0.035
0.72	0	-0.04
0.73	0	-0.0399999999999999
