#weight	occ	cum	dcum	dCDF
<blockquote class='information'>	NA	0	21516	      1
<font color='#006600'><b>Information: </b>Input files<br>	NA	0	21516	      1
	NA	0	21516	      1
	NA	0	21516	      1
</blockquote><br><hr size=3>	NA	0	21516	      1
-38.5	1	1	21516	      1
-38.4	0	1	21515	0.999954
-38.3	2	3	21515	0.999954
-38.2	0	3	21513	0.999861
-38.1	0	3	21513	0.999861
-38	1	4	21513	0.999861
-37.9	1	5	21512	0.999814
-37.8	0	5	21511	0.999768
-37.7	0	5	21511	0.999768
-37.6	1	6	21511	0.999768
-37.5	0	6	21510	0.999721
-37.4	0	6	21510	0.999721
-37.3	0	6	21510	0.999721
-37.2	0	6	21510	0.999721
-37.1	0	6	21510	0.999721
-37	0	6	21510	0.999721
-36.9	1	7	21510	0.999721
-36.8	1	8	21509	0.999675
-36.7	0	8	21508	0.999628
-36.6	0	8	21508	0.999628
-36.5	0	8	21508	0.999628
-36.4	3	11	21508	0.999628
-36.3	2	13	21505	0.999489
-36.2	0	13	21503	0.999396
-36.1	0	13	21503	0.999396
-36	2	15	21503	0.999396
-35.9	1	16	21501	0.999303
-35.8	2	18	21500	0.999256
-35.7	3	21	21498	0.999163
-35.6	0	21	21495	0.999024
-35.5	2	23	21495	0.999024
-35.4	1	24	21493	0.998931
-35.3	2	26	21492	0.998885
-35.2	2	28	21490	0.998792
-35.1	1	29	21488	0.998699
-35	4	33	21487	0.998652
-34.9	0	33	21483	0.998466
-34.8	1	34	21483	0.998466
-34.7	2	36	21482	0.99842
-34.6	1	37	21480	0.998327
-34.5	2	39	21479	0.99828
-34.4	2	41	21477	0.998187
-34.3	4	45	21475	0.998094
-34.2	2	47	21471	0.997909
-34.1	1	48	21469	0.997816
-34	4	52	21468	0.997769
-33.9	5	57	21464	0.997583
-33.8	2	59	21459	0.997351
-33.7	3	62	21457	0.997258
-33.6	4	66	21454	0.997118
-33.5	3	69	21450	0.996933
-33.4	3	72	21447	0.996793
-33.3	2	74	21444	0.996654
-33.2	3	77	21442	0.996561
-33.1	5	82	21439	0.996421
-33	4	86	21434	0.996189
-32.9	4	90	21430	0.996003
-32.8	7	97	21426	0.995817
-32.7	4	101	21419	0.995492
-32.6	6	107	21415	0.995306
-32.5	6	113	21409	0.995027
-32.4	5	118	21403	0.994748
-32.3	5	123	21398	0.994516
-32.2	6	129	21393	0.994283
-32.1	4	133	21387	0.994004
-32	6	139	21383	0.993819
-31.9	9	148	21377	0.99354
-31.8	8	156	21368	0.993121
-31.7	10	166	21360	0.99275
-31.6	6	172	21350	0.992285
-31.5	6	178	21344	0.992006
-31.4	8	186	21338	0.991727
-31.3	9	195	21330	0.991355
-31.2	12	207	21321	0.990937
-31.1	12	219	21309	0.990379
-31	11	230	21297	0.989822
-30.9	8	238	21286	0.98931
-30.8	15	253	21278	0.988938
-30.7	9	262	21263	0.988241
-30.6	14	276	21254	0.987823
-30.5	13	289	21240	0.987172
-30.4	17	306	21227	0.986568
-30.3	12	318	21210	0.985778
-30.2	10	328	21198	0.98522
-30.1	13	341	21188	0.984756
-30	16	357	21175	0.984151
-29.9	16	373	21159	0.983408
-29.8	19	392	21143	0.982664
-29.7	17	409	21124	0.981781
-29.6	20	429	21107	0.980991
-29.5	16	445	21087	0.980061
-29.4	16	461	21071	0.979318
-29.3	21	482	21055	0.978574
-29.2	17	499	21034	0.977598
-29.1	11	510	21017	0.976808
-29	15	525	21006	0.976297
-28.9	24	549	20991	 0.9756
-28.8	32	581	20967	0.974484
-28.7	15	596	20935	0.972997
-28.6	24	620	20920	 0.9723
-28.5	24	644	20896	0.971184
-28.4	36	680	20872	0.970069
-28.3	28	708	20836	0.968396
-28.2	24	732	20808	0.967094
-28.1	18	750	20784	0.965979
-28	36	786	20766	0.965142
-27.9	46	832	20730	0.963469
-27.8	27	859	20684	0.961331
-27.7	28	887	20657	0.960076
-27.6	32	919	20629	0.958775
-27.5	32	951	20597	0.957288
-27.4	32	983	20565	 0.9558
-27.3	33	1016	20533	0.954313
-27.2	38	1054	20500	0.952779
-27.1	41	1095	20462	0.951013
-27	36	1131	20421	0.949108
-26.9	43	1174	20385	0.947434
-26.8	45	1219	20342	0.945436
-26.7	39	1258	20297	0.943344
-26.6	39	1297	20258	0.941532
-26.5	56	1353	20219	0.939719
-26.4	45	1398	20163	0.937117
-26.3	43	1441	20118	0.935025
-26.2	55	1496	20075	0.933027
-26.1	63	1559	20020	0.93047
-26	56	1615	19957	0.927542
-25.9	45	1660	19901	0.92494
-25.8	41	1701	19856	0.922848
-25.7	47	1748	19815	0.920943
-25.6	47	1795	19768	0.918758
-25.5	48	1843	19721	0.916574
-25.4	50	1893	19673	0.914343
-25.3	53	1946	19623	0.912019
-25.2	51	1997	19570	0.909556
-25.1	74	2071	19519	0.907185
-25	74	2145	19445	0.903746
-24.9	55	2200	19371	0.900307
-24.8	78	2278	19316	0.897751
-24.7	79	2357	19238	0.894125
-24.6	84	2441	19159	0.890454
-24.5	79	2520	19075	0.88655
-24.4	60	2580	18996	0.882878
-24.3	84	2664	18936	0.880089
-24.2	70	2734	18852	0.876185
-24.1	73	2807	18782	0.872932
-24	72	2879	18709	0.869539
-23.9	93	2972	18637	0.866193
-23.8	73	3045	18544	0.86187
-23.7	84	3129	18471	0.858477
-23.6	83	3212	18387	0.854573
-23.5	80	3292	18304	0.850716
-23.4	92	3384	18224	0.846998
-23.3	89	3473	18132	0.842722
-23.2	74	3547	18043	0.838585
-23.1	84	3631	17969	0.835146
-23	91	3722	17885	0.831242
-22.9	91	3813	17794	0.827012
-22.8	110	3923	17703	0.822783
-22.7	85	4008	17593	0.817671
-22.6	98	4106	17508	0.81372
-22.5	108	4214	17410	0.809165
-22.4	102	4316	17302	0.804146
-22.3	115	4431	17200	0.799405
-22.2	112	4543	17085	0.79406
-22.1	100	4643	16973	0.788855
-22	106	4749	16873	0.784207
-21.9	105	4854	16767	0.779281
-21.8	98	4952	16662	 0.7744
-21.7	113	5065	16564	0.769846
-21.6	97	5162	16451	0.764594
-21.5	116	5278	16354	0.760086
-21.4	105	5383	16238	0.754694
-21.3	113	5496	16133	0.749814
-21.2	87	5583	16020	0.744562
-21.1	117	5700	15933	0.740519
-21	107	5807	15816	0.735081
-20.9	123	5930	15709	0.730108
-20.8	125	6055	15586	0.724391
-20.7	110	6165	15461	0.718582
-20.6	122	6287	15351	0.713469
-20.5	134	6421	15229	0.707799
-20.4	130	6551	15095	0.701571
-20.3	115	6666	14965	0.695529
-20.2	130	6796	14850	0.690184
-20.1	135	6931	14720	0.684142
-20	134	7065	14585	0.677868
-19.9	155	7220	14451	0.67164
-19.8	138	7358	14296	0.664436
-19.7	140	7498	14158	0.658022
-19.6	133	7631	14018	0.651515
-19.5	146	7777	13885	0.645334
-19.4	152	7929	13739	0.638548
-19.3	141	8070	13587	0.631484
-19.2	154	8224	13446	0.62493
-19.1	107	8331	13292	0.617773
-19	120	8451	13185	 0.6128
-18.9	136	8587	13065	0.607223
-18.8	129	8716	12929	0.600902
-18.7	126	8842	12800	0.594906
-18.6	131	8973	12674	0.58905
-18.5	142	9115	12543	0.582962
-18.4	157	9272	12401	0.576362
-18.3	147	9419	12244	0.569065
-18.2	162	9581	12097	0.562233
-18.1	158	9739	11935	0.554703
-18	139	9878	11777	0.54736
-17.9	145	10023	11638	 0.5409
-17.8	130	10153	11493	0.534161
-17.7	125	10278	11363	0.528119
-17.6	131	10409	11238	0.522309
-17.5	126	10535	11107	0.51622
-17.4	169	10704	10981	0.510364
-17.3	138	10842	10812	0.50251
-17.2	145	10987	10674	0.496096
-17.1	132	11119	10529	0.489357
-17	150	11269	10397	0.483222
-16.9	121	11390	10247	0.47625
-16.8	142	11532	10126	0.470627
-16.7	129	11661	9984	0.464027
-16.6	149	11810	9855	0.458031
-16.5	158	11968	9706	0.451106
-16.4	134	12102	9548	0.443763
-16.3	130	12232	9414	0.437535
-16.2	145	12377	9284	0.431493
-16.1	132	12509	9139	0.424754
-16	121	12630	9007	0.418619
-15.9	141	12771	8886	0.412995
-15.8	119	12890	8745	0.406442
-15.7	111	13001	8626	0.400911
-15.6	110	13111	8515	0.395752
-15.5	140	13251	8405	0.39064
-15.4	129	13380	8265	0.384133
-15.3	125	13505	8136	0.378137
-15.2	130	13635	8011	0.372328
-15.1	127	13762	7881	0.366286
-15	131	13893	7754	0.360383
-14.9	135	14028	7623	0.354294
-14.8	109	14137	7488	0.34802
-14.7	126	14263	7379	0.342954
-14.6	124	14387	7253	0.337098
-14.5	129	14516	7129	0.331335
-14.4	121	14637	7000	0.325339
-14.3	129	14766	6879	0.319716
-14.2	141	14907	6750	0.31372
-14.1	121	15028	6609	0.307167
-14	135	15163	6488	0.301543
-13.9	114	15277	6353	0.295269
-13.8	135	15412	6239	0.28997
-13.7	115	15527	6104	0.283696
-13.6	128	15655	5989	0.278351
-13.5	110	15765	5861	0.272402
-13.4	115	15880	5751	0.267289
-13.3	131	16011	5636	0.261945
-13.2	95	16106	5505	0.255856
-13.1	118	16224	5410	0.251441
-13	122	16346	5292	0.245956
-12.9	106	16452	5170	0.240286
-12.8	115	16567	5064	0.23536
-12.7	121	16688	4949	0.230015
-12.6	114	16802	4828	0.224391
-12.5	112	16914	4714	0.219093
-12.4	88	17002	4602	0.213887
-12.3	117	17119	4514	0.209797
-12.2	96	17215	4397	0.20436
-12.1	93	17308	4301	0.199898
-12	82	17390	4208	0.195575
-11.9	98	17488	4126	0.191764
-11.8	98	17586	4028	0.18721
-11.7	94	17680	3930	0.182655
-11.6	79	17759	3836	0.178286
-11.5	92	17851	3757	0.174614
-11.4	93	17944	3665	0.170338
-11.3	95	18039	3572	0.166016
-11.2	90	18129	3477	0.161601
-11.1	79	18208	3387	0.157418
-11	82	18290	3308	0.153746
-10.9	77	18367	3226	0.149935
-10.8	90	18457	3149	0.146356
-10.7	79	18536	3059	0.142173
-10.6	74	18610	2980	0.138502
-10.5	72	18682	2906	0.135062
-10.4	81	18763	2834	0.131716
-10.3	87	18850	2753	0.127951
-10.2	75	18925	2666	0.123908
-10.1	59	18984	2591	0.120422
-10	52	19036	2532	0.11768
-9.9	55	19091	2480	0.115263
-9.8	71	19162	2425	0.112707
-9.7	58	19220	2354	0.109407
-9.6	51	19271	2296	0.106711
-9.5	70	19341	2245	0.104341
-9.4	66	19407	2175	0.101088
-9.3	62	19469	2109	0.0980201
-9.2	54	19523	2047	0.0951385
-9.1	62	19585	1993	0.0926287
-9	57	19642	1931	0.0897472
-8.9	49	19691	1874	0.087098
-8.8	33	19724	1825	0.0848206
-8.7	46	19770	1792	0.0832869
-8.6	40	19810	1746	0.0811489
-8.5	54	19864	1706	0.0792898
-8.4	43	19907	1652	0.0767801
-8.3	45	19952	1609	0.0747816
-8.2	62	20014	1564	0.0726901
-8.1	45	20059	1502	0.0698085
-8	37	20096	1457	0.067717
-7.9	52	20148	1420	0.0659974
-7.8	41	20189	1368	0.0635806
-7.7	34	20223	1327	0.061675
-7.6	40	20263	1293	0.0600948
-7.5	45	20308	1253	0.0582357
-7.4	39	20347	1208	0.0561443
-7.3	35	20382	1169	0.0543317
-7.2	32	20414	1134	0.052705
-7.1	36	20450	1102	0.0512177
-7	35	20485	1066	0.0495445
-6.9	32	20517	1031	0.0479178
-6.8	40	20557	999	0.0464306
-6.7	26	20583	959	0.0445715
-6.6	30	20613	933	0.0433631
-6.5	33	20646	903	0.0419688
-6.4	32	20678	870	0.040435
-6.3	29	20707	838	0.0389478
-6.2	27	20734	809	0.0375999
-6.1	28	20762	782	0.036345
-6	30	20792	754	0.0350437
-5.9	23	20815	724	0.0336494
-5.8	24	20839	701	0.0325804
-5.7	21	20860	677	0.031465
-5.6	21	20881	656	0.0304889
-5.5	30	20911	635	0.0295129
-5.4	23	20934	605	0.0281186
-5.3	20	20954	582	0.0270496
-5.2	20	20974	562	0.0261201
-5.1	16	20990	542	0.0251906
-5	22	21012	526	0.0244469
-4.9	17	21029	504	0.0234244
-4.8	17	21046	487	0.0226343
-4.7	14	21060	470	0.0218442
-4.6	17	21077	456	0.0211935
-4.5	18	21095	439	0.0204034
-4.4	16	21111	421	0.0195668
-4.3	21	21132	405	0.0188232
-4.2	21	21153	384	0.0178472
-4.1	24	21177	363	0.0168712
-4	17	21194	339	0.0157557
-3.9	16	21210	322	0.0149656
-3.8	15	21225	306	0.014222
-3.7	16	21241	291	0.0135248
-3.6	10	21251	275	0.0127812
-3.5	18	21269	265	0.0123164
-3.4	9	21278	247	0.0114798
-3.3	12	21290	238	0.0110615
-3.2	7	21297	226	0.0105038
-3.1	10	21307	219	0.0101785
-3	8	21315	209	0.0097137
-2.9	5	21320	201	0.00934189
-2.8	9	21329	196	0.0091095
-2.7	4	21333	187	0.00869121
-2.6	10	21343	183	0.0085053
-2.5	4	21347	173	0.00804053
-2.4	6	21353	169	0.00785462
-2.3	7	21360	163	0.00757576
-2.2	10	21370	156	0.00725042
-2.1	5	21375	146	0.00678565
-2	4	21379	141	0.00655326
-1.9	2	21381	137	0.00636735
-1.8	6	21387	135	0.0062744
-1.7	5	21392	129	0.00599554
-1.6	7	21399	124	0.00576315
-1.5	6	21405	117	0.00543781
-1.4	5	21410	111	0.00515895
-1.3	5	21415	106	0.00492657
-1.2	3	21418	101	0.00469418
-1.1	4	21422	98	0.00455475
-1	5	21427	94	0.00436884
-0.9	2	21429	89	0.00413646
-0.8	1	21430	87	0.0040435
-0.7	3	21433	86	0.00399703
-0.6	6	21439	83	0.00385759
-0.5	5	21444	77	0.00357873
-0.4	5	21449	72	0.00334635
-0.3	5	21454	67	0.00311396
-0.2	3	21457	62	0.00288158
-0.1	4	21461	59	0.00274215
0	3	21464	55	0.00255624
0.1	2	21466	52	0.00241681
0.2	3	21469	50	0.00232385
0.3	3	21472	47	0.00218442
0.4	0	21472	44	0.00204499
0.5	2	21474	44	0.00204499
0.6	3	21477	42	0.00195204
0.7	2	21479	39	0.0018126
0.8	0	21479	37	0.00171965
0.9	1	21480	37	0.00171965
1	2	21482	36	0.00167317
1.1	3	21485	34	0.00158022
1.2	4	21489	31	0.00144079
1.3	2	21491	27	0.00125488
1.4	2	21493	25	0.00116193
1.5	3	21496	23	0.00106897
1.6	1	21497	20	0.000929541
1.7	1	21498	19	0.000883064
1.8	0	21498	18	0.000836587
1.9	1	21499	18	0.000836587
2	0	21499	17	0.00079011
2.1	1	21500	17	0.00079011
2.2	0	21500	16	0.000743633
2.3	2	21502	16	0.000743633
2.4	0	21502	14	0.000650679
2.5	1	21503	14	0.000650679
2.6	1	21504	13	0.000604202
2.7	0	21504	12	0.000557724
2.8	0	21504	12	0.000557724
2.9	1	21505	12	0.000557724
3	0	21505	11	0.000511247
3.1	0	21505	11	0.000511247
3.2	0	21505	11	0.000511247
3.3	0	21505	11	0.000511247
3.4	1	21506	11	0.000511247
3.5	2	21508	10	0.00046477
3.6	1	21509	8	0.000371816
3.7	0	21509	7	0.000325339
3.8	1	21510	7	0.000325339
3.9	0	21510	6	0.000278862
4	0	21510	6	0.000278862
4.1	0	21510	6	0.000278862
4.2	0	21510	6	0.000278862
4.3	0	21510	6	0.000278862
4.4	1	21511	6	0.000278862
4.5	0	21511	5	0.000232385
4.6	0	21511	5	0.000232385
4.7	0	21511	5	0.000232385
4.8	1	21512	5	0.000232385
4.9	1	21513	4	0.000185908
5	0	21513	3	0.000139431
5.1	1	21514	3	0.000139431
5.2	0	21514	2	9.29541e-05
5.3	0	21514	2	9.29541e-05
5.4	1	21515	2	9.29541e-05
5.5	0	21515	1	4.6477e-05
5.6	0	21515	1	4.6477e-05
5.7	0	21515	1	4.6477e-05
5.8	0	21515	1	4.6477e-05
5.9	0	21515	1	4.6477e-05
6	0	21515	1	4.6477e-05
6.1	0	21515	1	4.6477e-05
6.2	0	21515	1	4.6477e-05
6.3	0	21515	1	4.6477e-05
6.4	0	21515	1	4.6477e-05
6.5	0	21515	1	4.6477e-05
6.6	1	21516	1	4.6477e-05
