#score	occ	co	cco	dCDF
-37.6	1	1	7037	0.999858
-37.5	0	1	7037	0.999858
-37.4	0	1	7037	0.999858
-37.3	0	1	7037	0.999858
-37.2	0	1	7037	0.999858
-37.1	0	1	7037	0.999858
-37	0	1	7037	0.999858
-36.9	0	1	7037	0.999858
-36.8	0	1	7037	0.999858
-36.7	0	1	7037	0.999858
-36.6	0	1	7037	0.999858
-36.5	0	1	7037	0.999858
-36.4	1	2	7036	0.999716
-36.3	0	2	7036	0.999716
-36.2	0	2	7036	0.999716
-36.1	0	2	7036	0.999716
-36	0	2	7036	0.999716
-35.9	1	3	7035	0.999574
-35.8	1	4	7034	0.999432
-35.7	1	5	7033	0.99929
-35.6	0	5	7033	0.99929
-35.5	1	6	7032	0.999147
-35.4	0	6	7032	0.999147
-35.3	0	6	7032	0.999147
-35.2	2	8	7030	0.998863
-35.1	0	8	7030	0.998863
-35	0	8	7030	0.998863
-34.9	0	8	7030	0.998863
-34.8	0	8	7030	0.998863
-34.7	0	8	7030	0.998863
-34.6	0	8	7030	0.998863
-34.5	0	8	7030	0.998863
-34.4	1	9	7029	0.998721
-34.3	0	9	7029	0.998721
-34.2	1	10	7028	0.998579
-34.1	0	10	7028	0.998579
-34	1	11	7027	0.998437
-33.9	1	12	7026	0.998295
-33.8	0	12	7026	0.998295
-33.7	0	12	7026	0.998295
-33.6	0	12	7026	0.998295
-33.5	1	13	7025	0.998153
-33.4	1	14	7024	0.998011
-33.3	1	15	7023	0.997869
-33.2	1	16	7022	0.997727
-33.1	0	16	7022	0.997727
-33	0	16	7022	0.997727
-32.9	2	18	7020	0.997442
-32.8	0	18	7020	0.997442
-32.7	3	21	7017	0.997016
-32.6	3	24	7014	0.99659
-32.5	1	25	7013	0.996448
-32.4	2	27	7011	0.996164
-32.3	2	29	7009	0.99588
-32.2	2	31	7007	0.995595
-32.1	1	32	7006	0.995453
-32	2	34	7004	0.995169
-31.9	5	39	6999	0.994459
-31.8	3	42	6996	0.994032
-31.7	2	44	6994	0.993748
-31.6	1	45	6993	0.993606
-31.5	1	46	6992	0.993464
-31.4	2	48	6990	0.99318
-31.3	0	48	6990	0.99318
