#score	occ	co	cco	dCDF
-38.5	1	1	7037	0.999858
-38.4	0	1	7037	0.999858
-38.3	0	1	7037	0.999858
-38.2	0	1	7037	0.999858
-38.1	0	1	7037	0.999858
-38	0	1	7037	0.999858
-37.9	0	1	7037	0.999858
-37.8	0	1	7037	0.999858
-37.7	0	1	7037	0.999858
-37.6	0	1	7037	0.999858
-37.5	0	1	7037	0.999858
-37.4	0	1	7037	0.999858
-37.3	0	1	7037	0.999858
-37.2	0	1	7037	0.999858
-37.1	0	1	7037	0.999858
-37	0	1	7037	0.999858
-36.9	0	1	7037	0.999858
-36.8	0	1	7037	0.999858
-36.7	0	1	7037	0.999858
-36.6	0	1	7037	0.999858
-36.5	0	1	7037	0.999858
-36.4	0	1	7037	0.999858
-36.3	0	1	7037	0.999858
-36.2	1	2	7036	0.999716
-36.1	0	2	7036	0.999716
-36	0	2	7036	0.999716
-35.9	0	2	7036	0.999716
-35.8	0	2	7036	0.999716
-35.7	0	2	7036	0.999716
-35.6	0	2	7036	0.999716
-35.5	0	2	7036	0.999716
-35.4	1	3	7035	0.999574
-35.3	0	3	7035	0.999574
-35.2	0	3	7035	0.999574
-35.1	0	3	7035	0.999574
-35	2	5	7033	0.99929
-34.9	1	6	7032	0.999147
-34.8	0	6	7032	0.999147
-34.7	0	6	7032	0.999147
-34.6	1	7	7031	0.999005
-34.5	0	7	7031	0.999005
-34.4	0	7	7031	0.999005
-34.3	0	7	7031	0.999005
-34.2	0	7	7031	0.999005
-34.1	1	8	7030	0.998863
-34	0	8	7030	0.998863
-33.9	1	9	7029	0.998721
-33.8	0	9	7029	0.998721
-33.7	1	10	7028	0.998579
-33.6	0	10	7028	0.998579
-33.5	0	10	7028	0.998579
-33.4	0	10	7028	0.998579
-33.3	0	10	7028	0.998579
-33.2	0	10	7028	0.998579
-33.1	3	13	7025	0.998153
-33	0	13	7025	0.998153
-32.9	0	13	7025	0.998153
-32.8	1	14	7024	0.998011
-32.7	1	15	7023	0.997869
-32.6	0	15	7023	0.997869
-32.5	0	15	7023	0.997869
-32.4	0	15	7023	0.997869
-32.3	4	19	7019	0.9973
-32.2	0	19	7019	0.9973
-32.1	0	19	7019	0.9973
-32	2	21	7017	0.997016
-31.9	1	22	7016	0.996874
-31.8	4	26	7012	0.996306
