#score	occ	co	cco	dCDF
-38.5	1	1	14477	0.999931
-38.4	0	1	14477	0.999931
-38.3	2	3	14475	0.999793
-38.2	0	3	14475	0.999793
-38.1	0	3	14475	0.999793
-38	1	4	14474	0.999724
-37.9	1	5	14473	0.999655
-37.8	0	5	14473	0.999655
-37.7	0	5	14473	0.999655
-37.6	0	5	14473	0.999655
-37.5	0	5	14473	0.999655
-37.4	0	5	14473	0.999655
-37.3	0	5	14473	0.999655
-37.2	0	5	14473	0.999655
-37.1	0	5	14473	0.999655
-37	0	5	14473	0.999655
-36.9	1	6	14472	0.999586
-36.8	1	7	14471	0.999517
-36.7	0	7	14471	0.999517
-36.6	0	7	14471	0.999517
-36.5	0	7	14471	0.999517
-36.4	2	9	14469	0.999378
-36.3	2	11	14467	0.99924
-36.2	0	11	14467	0.99924
-36.1	0	11	14467	0.99924
-36	2	13	14465	0.999102
-35.9	0	13	14465	0.999102
-35.8	1	14	14464	0.999033
-35.7	2	16	14462	0.998895
-35.6	0	16	14462	0.998895
-35.5	1	17	14461	0.998826
-35.4	1	18	14460	0.998757
-35.3	2	20	14458	0.998619
-35.2	0	20	14458	0.998619
-35.1	1	21	14457	0.99855
-35	4	25	14453	0.998273
-34.9	0	25	14453	0.998273
-34.8	1	26	14452	0.998204
-34.7	2	28	14450	0.998066
-34.6	1	29	14449	0.997997
-34.5	2	31	14447	0.997859
-34.4	1	32	14446	0.99779
-34.3	4	36	14442	0.997513
-34.2	1	37	14441	0.997444
-34.1	1	38	14440	0.997375
-34	3	41	14437	0.997168
-33.9	4	45	14433	0.996892
-33.8	2	47	14431	0.996754
-33.7	3	50	14428	0.996546
-33.6	4	54	14424	0.99627
-33.5	2	56	14422	0.996132
-33.4	2	58	14420	0.995994
-33.3	1	59	14419	0.995925
-33.2	2	61	14417	0.995787
-33.1	5	66	14412	0.995441
-33	4	70	14408	0.995165
-32.9	2	72	14406	0.995027
-32.8	7	79	14399	0.994543
-32.7	1	80	14398	0.994474
-32.6	3	83	14395	0.994267
-32.5	5	88	14390	0.993922
-32.4	3	91	14387	0.993715
-32.3	3	94	14384	0.993507
-32.2	4	98	14380	0.993231
-32.1	3	101	14377	0.993024
-32	4	105	14373	0.992748
-31.9	4	109	14369	0.992471
-31.8	5	114	14364	0.992126
-31.7	8	122	14356	0.991573
-31.6	5	127	14351	0.991228
-31.5	5	132	14346	0.990883
-31.4	6	138	14340	0.990468
-31.3	9	147	14331	0.989847
-31.2	8	155	14323	0.989294
-31.1	10	165	14313	0.988603
-31	8	173	14305	0.988051
-30.9	7	180	14298	0.987567
-30.8	13	193	14285	0.986669
-30.7	7	200	14278	0.986186
-30.6	6	206	14272	0.985772
-30.5	10	216	14262	0.985081
-30.4	13	229	14249	0.984183
-30.3	7	236	14242	0.983699
-30.2	8	244	14234	0.983147
-30.1	5	249	14229	0.982801
-30	14	263	14215	0.981835
-29.9	9	272	14206	0.981213
-29.8	14	286	14192	0.980246
-29.7	9	295	14183	0.979624
-29.6	18	313	14165	0.978381
-29.5	16	329	14149	0.977276
-29.4	12	341	14137	0.976447
-29.3	11	352	14126	0.975687
-29.2	13	365	14113	0.974789
-29.1	8	373	14105	0.974237
-29	11	384	14094	0.973477
-28.9	15	399	14079	0.972441
-28.8	22	421	14057	0.970921
-28.7	10	431	14047	0.970231
-28.6	13	444	14034	0.969333
-28.5	17	461	14017	0.968159
-28.4	26	487	13991	0.966363
-28.3	19	506	13972	0.96505
-28.2	16	522	13956	0.963945
-28.1	16	538	13940	0.96284
-28	26	564	13914	0.961044
-27.9	33	597	13881	0.958765
-27.8	22	619	13859	0.957245
-27.7	17	636	13842	0.956071
-27.6	22	658	13820	0.954552
-27.5	23	681	13797	0.952963
-27.4	20	701	13777	0.951582
-27.3	27	728	13750	0.949717
-27.2	29	757	13721	0.947714
-27.1	29	786	13692	0.945711
-27	28	814	13664	0.943777
-26.9	36	850	13628	0.94129
-26.8	34	884	13594	0.938942
-26.7	28	912	13566	0.937008
-26.6	27	939	13539	0.935143
-26.5	37	976	13502	0.932587
-26.4	34	1010	13468	0.930239
-26.3	32	1042	13436	0.928029
-26.2	36	1078	13400	0.925542
-26.1	46	1124	13354	0.922365
-26	37	1161	13317	0.919809
-25.9	30	1191	13287	0.917737
-25.8	25	1216	13262	0.91601
-25.7	35	1251	13227	0.913593
-25.6	37	1288	13190	0.911037
-25.5	30	1318	13160	0.908965
-25.4	32	1350	13128	0.906755
-25.3	36	1386	13092	0.904269
-25.2	32	1418	13060	0.902058
-25.1	48	1466	13012	0.898743
-25	51	1517	12961	0.89522
-24.9	38	1555	12923	0.892596
-24.8	51	1606	12872	0.889073
-24.7	60	1666	12812	0.884929
-24.6	61	1727	12751	0.880716
-24.5	56	1783	12695	0.876848
-24.4	45	1828	12650	0.873739
-24.3	65	1893	12585	0.86925
-24.2	47	1940	12538	0.866004
-24.1	50	1990	12488	0.86255
-24	42	2032	12446	0.859649
-23.9	67	2099	12379	0.855021
-23.8	45	2144	12334	0.851913
