#score	occ	co	cco	dCDF
-37.6	1	1	14477	0.999931
-37.5	0	1	14477	0.999931
-37.4	0	1	14477	0.999931
-37.3	0	1	14477	0.999931
-37.2	0	1	14477	0.999931
-37.1	0	1	14477	0.999931
-37	2	3	14475	0.999793
-36.9	0	3	14475	0.999793
-36.8	1	4	14474	0.999724
-36.7	0	4	14474	0.999724
-36.6	0	4	14474	0.999724
-36.5	1	5	14473	0.999655
-36.4	0	5	14473	0.999655
-36.3	0	5	14473	0.999655
-36.2	2	7	14471	0.999517
-36.1	1	8	14470	0.999447
-36	1	9	14469	0.999378
-35.9	1	10	14468	0.999309
-35.8	2	12	14466	0.999171
-35.7	0	12	14466	0.999171
-35.6	0	12	14466	0.999171
-35.5	0	12	14466	0.999171
-35.4	1	13	14465	0.999102
-35.3	3	16	14462	0.998895
-35.2	2	18	14460	0.998757
-35.1	2	20	14458	0.998619
-35	1	21	14457	0.99855
-34.9	0	21	14457	0.99855
-34.8	1	22	14456	0.99848
-34.7	1	23	14455	0.998411
-34.6	2	25	14453	0.998273
-34.5	1	26	14452	0.998204
-34.4	1	27	14451	0.998135
-34.3	2	29	14449	0.997997
-34.2	4	33	14445	0.997721
-34.1	0	33	14445	0.997721
-34	1	34	14444	0.997652
-33.9	2	36	14442	0.997513
-33.8	5	41	14437	0.997168
-33.7	2	43	14435	0.99703
-33.6	3	46	14432	0.996823
-33.5	4	50	14428	0.996546
-33.4	5	55	14423	0.996201
-33.3	5	60	14418	0.995856
-33.2	2	62	14416	0.995718
-33.1	3	65	14413	0.99551
-33	4	69	14409	0.995234
-32.9	4	73	14405	0.994958
-32.8	2	75	14403	0.99482
-32.7	4	79	14399	0.994543
-32.6	5	84	14394	0.994198
-32.5	8	92	14386	0.993646
-32.4	5	97	14381	0.9933
-32.3	4	101	14377	0.993024
-32.2	5	106	14372	0.992679
-32.1	6	112	14366	0.992264
-32	3	115	14363	0.992057
-31.9	7	122	14356	0.991573
-31.8	11	133	14345	0.990814
-31.7	3	136	14342	0.990606
-31.6	4	140	14338	0.99033
-31.5	11	151	14327	0.98957
-31.4	11	162	14316	0.988811
-31.3	7	169	14309	0.988327
-31.2	7	176	14302	0.987844
-31.1	7	183	14295	0.98736
-31	7	190	14288	0.986877
-30.9	7	197	14281	0.986393
-30.8	5	202	14276	0.986048
