#Pvalue	score_theor	score_CRP_binding_sites	NWD_CRP_binding_sites_vs_theor
1.0e+00	-32.2	-31.1	0.0550000000000001
9.9e-01	-29.9	-29.3	0.0299999999999999
9.8e-01	-28.7	-28.2	0.025
9.7e-01	-27.9	-27.4	0.025
9.6e-01	-27.2	-26.9	0.015
9.5e-01	-26.6	-26.3	0.015
9.4e-01	-26.1	-25.9	0.0100000000000001
9.3e-01	-25.7	-25.5	0.00999999999999996
9.2e-01	-25.3	-25.2	0.00500000000000007
9.1e-01	-24.9	-24.9	0
9.0e-01	-24.6	-24.5	0.00500000000000007
8.9e-01	-24.3	-24.1	0.00999999999999996
8.8e-01	-24	-23.8	0.00999999999999996
8.7e-01	-23.7	-23.6	0.00499999999999989
8.6e-01	-23.4	-23.3	0.00499999999999989
8.5e-01	-23.1	-23.1	0
8.4e-01	-22.9	-22.8	0.00499999999999989
8.3e-01	-22.7	-22.7	0
8.2e-01	-22.4	-22.4	0
8.1e-01	-22.2	-22.2	0
8.0e-01	-22	-22	0
7.9e-01	-21.8	-21.8	0
7.8e-01	-21.6	-21.6	0
7.7e-01	-21.4	-21.3	0.00499999999999989
7.6e-01	-21.2	-21.2	0
7.5e-01	-21	-21	0
7.4e-01	-20.8	-20.7	0.00500000000000007
7.3e-01	-20.6	-20.6	0
7.2e-01	-20.4	-20.4	0
7.1e-01	-20.3	-20.3	0
7.0e-01	-20.1	-20.1	0
6.9e-01	-19.9	-19.9	0
6.8e-01	-19.8	-19.8	0
6.7e-01	-19.6	-19.6	0
6.6e-01	-19.4	-19.5	-0.00500000000000007
6.5e-01	-19.3	-19.3	0
6.4e-01	-19.1	-19.1	0
6.3e-01	-18.9	-19	-0.00500000000000007
6.2e-01	-18.8	-18.8	0
6.1e-01	-18.6	-18.7	-0.00499999999999989
6.0e-01	-18.4	-18.5	-0.00500000000000007
5.9e-01	-18.3	-18.4	-0.00499999999999989
5.8e-01	-18.1	-18.2	-0.00499999999999989
5.7e-01	-18	-18	0
5.6e-01	-17.8	-17.9	-0.00499999999999989
5.5e-01	-17.7	-17.7	0
5.4e-01	-17.5	-17.6	-0.00500000000000007
5.3e-01	-17.4	-17.4	0
5.2e-01	-17.2	-17.3	-0.00500000000000007
5.1e-01	-17.1	-17.2	-0.00499999999999989
5.0e-01	-16.9	-17.1	-0.0100000000000001
4.9e-01	-16.7	-16.9	-0.00999999999999996
4.8e-01	-16.6	-16.8	-0.00999999999999996
4.7e-01	-16.4	-16.6	-0.0100000000000001
4.6e-01	-16.3	-16.5	-0.00999999999999996
4.5e-01	-16.1	-16.4	-0.0149999999999999
4.4e-01	-15.9	-16.2	-0.0149999999999999
4.3e-01	-15.8	-16	-0.00999999999999996
4.2e-01	-15.6	-15.9	-0.015
4.1e-01	-15.5	-15.8	-0.015
4.0e-01	-15.3	-15.6	-0.0149999999999999
3.9e-01	-15.2	-15.4	-0.0100000000000001
3.8e-01	-15	-15.3	-0.015
3.7e-01	-14.8	-15.1	-0.0149999999999999
3.6e-01	-14.7	-15	-0.015
3.5e-01	-14.5	-14.8	-0.015
3.4e-01	-14.3	-14.6	-0.0149999999999999
3.3e-01	-14.2	-14.5	-0.015
3.2e-01	-14	-14.3	-0.015
3.1e-01	-13.8	-14.2	-0.0199999999999999
3.0e-01	-13.6	-14	-0.02
2.9e-01	-13.4	-13.8	-0.02
2.8e-01	-13.2	-13.6	-0.02
2.7e-01	-13.1	-13.4	-0.015
2.6e-01	-12.9	-13.2	-0.0149999999999999
2.5e-01	-12.7	-13	-0.015
2.4e-01	-12.5	-12.8	-0.015
2.3e-01	-12.3	-12.6	-0.0149999999999999
2.2e-01	-12.1	-12.4	-0.015
2.1e-01	-11.8	-12.1	-0.0149999999999999
2.0e-01	-11.6	-11.9	-0.015
1.9e-01	-11.4	-11.7	-0.0149999999999999
1.8e-01	-11.1	-11.5	-0.02
1.7e-01	-10.9	-11.3	-0.02
1.6e-01	-10.6	-11.1	-0.025
1.5e-01	-10.4	-10.8	-0.02
1.4e-01	-10.1	-10.5	-0.02
1.3e-01	-9.8	-10.2	-0.0199999999999999
1.2e-01	-9.5	-9.9	-0.02
1.1e-01	-9.1	-9.6	-0.025
1.0e-01	-8.9	-9.4	-0.025
9.7e-02	-8.8	-9.2	-0.0199999999999999
8.7e-02	-8.4	-8.8	-0.02
8.2e-02	-8.2	-8.6	-0.02
7.9e-02	-8.1	-8.5	-0.02
7.7e-02	-8	-8.4	-0.02
7.5e-02	-7.9	-8.3	-0.02
7.3e-02	-7.8	-8.2	-0.02
7.1e-02	-7.7	-8.1	-0.02
6.7e-02	-7.5	-7.9	-0.02
6.3e-02	-7.3	-7.7	-0.02
6.1e-02	-7.2	-7.6	-0.02
5.3e-02	-6.8	-7.1	-0.015
5.0e-02	-6.6	-6.9	-0.015
4.8e-02	-6.5	-6.8	-0.015
4.4e-02	-6.2	-6.6	-0.02
