#Pvalue	score_theor	score_LexA_peaks	NWD_LexA_peaks_vs_theor
1.0e+00	-32.2	-33	-0.0399999999999999
9.9e-01	-29.9	-30.7	-0.04
9.8e-01	-28.7	-29.5	-0.04
9.7e-01	-27.9	-28.6	-0.0350000000000001
9.6e-01	-27.2	-27.9	-0.035
9.5e-01	-26.6	-27.3	-0.035
9.4e-01	-26.1	-26.9	-0.0399999999999999
9.3e-01	-25.7	-26.4	-0.035
9.2e-01	-25.3	-26.1	-0.04
9.1e-01	-24.9	-25.7	-0.04
9.0e-01	-24.6	-25.3	-0.035
8.9e-01	-24.3	-25	-0.035
8.8e-01	-24	-24.7	-0.035
8.7e-01	-23.7	-24.4	-0.035
8.6e-01	-23.4	-24.2	-0.04
8.5e-01	-23.1	-23.9	-0.0399999999999999
8.4e-01	-22.9	-23.7	-0.04
8.3e-01	-22.7	-23.4	-0.035
8.2e-01	-22.4	-23.2	-0.04
8.1e-01	-22.2	-23	-0.04
8.0e-01	-22	-22.8	-0.04
7.9e-01	-21.8	-22.6	-0.04
7.8e-01	-21.6	-22.4	-0.0399999999999999
7.7e-01	-21.4	-22.2	-0.04
7.6e-01	-21.2	-22	-0.04
7.5e-01	-21	-21.8	-0.04
7.4e-01	-20.8	-21.6	-0.04
7.3e-01	-20.6	-21.4	-0.0399999999999999
7.2e-01	-20.4	-21.2	-0.04
7.1e-01	-20.3	-21	-0.035
7.0e-01	-20.1	-20.8	-0.035
6.9e-01	-19.9	-20.6	-0.0350000000000001
6.8e-01	-19.8	-20.4	-0.0299999999999999
6.7e-01	-19.6	-20.3	-0.035
6.6e-01	-19.4	-20.1	-0.0350000000000001
6.5e-01	-19.3	-19.9	-0.0299999999999999
6.4e-01	-19.1	-19.8	-0.035
6.3e-01	-18.9	-19.6	-0.0350000000000001
6.2e-01	-18.8	-19.4	-0.0299999999999999
6.1e-01	-18.6	-19.3	-0.035
6.0e-01	-18.4	-19.1	-0.0350000000000001
5.9e-01	-18.3	-19	-0.035
5.8e-01	-18.1	-18.8	-0.035
5.7e-01	-18	-18.6	-0.0300000000000001
5.6e-01	-17.8	-18.5	-0.035
5.5e-01	-17.7	-18.3	-0.0300000000000001
5.4e-01	-17.5	-18.2	-0.035
