; matrix-distrib  -v 1 -m $RSAT/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/LexA.RegulonDB2012/matrix-quality_2018-03-21.175002_LexA.RegulonDB2012_matrix.tab -matrix_format tab -pseudo 1 -bgfile $RSAT/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/matrix-quality_2018-03-21.1750022nt_upstream-noorf_Escherichia_coli_GCF_000005845.2_ASM584v2-ovlp-1str.freq.gz_inclusive.tab -bg_format inclusive -bg_pseudo 0.01 -decimals 1 -o $RSAT/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/LexA.RegulonDB2012/matrix-quality_2018-03-21.175002_LexA.RegulonDB2012_theor_score_distrib.tab
; Input files
;	bgfile	/space23/rsat/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/matrix-quality_2018-03-21.1750022nt_upstream-noorf_Escherichia_coli_GCF_000005845.2_ASM584v2-ovlp-1str.freq.gz_inclusive.tab
; Output files
;	output	/space23/rsat/public_html/tmp/apache/2018/03/21/matrix-quality_2018-03-21.175002_zdBRpm/LexA.RegulonDB2012/matrix-quality_2018-03-21.175002_LexA.RegulonDB2012_theor_score_distrib.tab
; Background model
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29114
;		c	0.20781
;		g	0.20402
;		t	0.29702
;
; Matrix: matrix-quality_2018-03-21
;
; Theoretical distribution of weight probabilities
;	1	weight      	log-likelihood score: w=P(S|M)/P(S|B)
;	2	proba       	probability density function: P(W=w)
;	3	cum         	cumulative density function: P(W <= w)
;	4	Pval        	P-value = inverse cumulative density function: Pval = P(W >= w)
;	5	ln_Pval     	natural logarithm of the P-value
;	6	log_P       	base 10 logarithm of the P-value
;	7	sig         	significance: sig = -log10(Pval)
#weight	proba	cum	Pval	ln_Pval	log_P	sig
-50.2	NA	0.0e+00	1.0e+00	-0.000	0	0.000
-50.1	6.8e-13	6.8e-13	1.0e+00	-0.000	0	0.000
-50.0	8.4e-13	1.5e-12	1.0e+00	-0.000	0	0.000
-49.9	2.6e-12	4.1e-12	1.0e+00	-0.000	0	0.000
-49.8	3.5e-12	7.6e-12	1.0e+00	-0.000	0	0.000
-49.7	4.6e-12	1.2e-11	1.0e+00	-0.000	0	0.000
-49.6	6.9e-12	1.9e-11	1.0e+00	-0.000	0	0.000
-49.5	6.8e-12	2.6e-11	1.0e+00	-0.000	0	0.000
-49.4	9.6e-12	3.5e-11	1.0e+00	-0.000	0	0.000
-49.3	7.7e-12	4.3e-11	1.0e+00	-0.000	0	0.000
-49.2	1.2e-11	5.5e-11	1.0e+00	-0.000	0	0.000
-49.1	1.6e-11	7.1e-11	1.0e+00	-0.000	0	0.000
-49.0	2.7e-11	9.8e-11	1.0e+00	-0.000	0	0.000
-48.9	3.0e-11	1.3e-10	1.0e+00	-0.000	0	0.000
-48.8	4.2e-11	1.7e-10	1.0e+00	-0.000	0	0.000
-48.7	4.3e-11	2.1e-10	1.0e+00	-0.000	0	0.000
-48.6	6.5e-11	2.8e-10	1.0e+00	-0.000	0	0.000
-48.5	7.4e-11	3.5e-10	1.0e+00	-0.000	0	0.000
-48.4	8.4e-11	4.4e-10	1.0e+00	-0.000	0	0.000
-48.3	8.6e-11	5.2e-10	1.0e+00	-0.000	0	0.000
-48.2	1.0e-10	6.3e-10	1.0e+00	-0.000	0	0.000
-48.1	1.4e-10	7.7e-10	1.0e+00	-0.000	0	0.000
-48.0	1.9e-10	9.6e-10	1.0e+00	-0.000	0	0.000
-47.9	2.2e-10	1.2e-09	1.0e+00	-0.000	0	0.000
-47.8	2.5e-10	1.4e-09	1.0e+00	-0.000	0	0.000
-47.7	2.8e-10	1.7e-09	1.0e+00	-0.000	0	0.000
-47.6	3.5e-10	2.1e-09	1.0e+00	-0.000	0	0.000
-47.5	4.6e-10	2.5e-09	1.0e+00	-0.000	0	0.000
-47.4	4.6e-10	3.0e-09	1.0e+00	-0.000	0	0.000
-47.3	4.8e-10	3.5e-09	1.0e+00	-0.000	0	0.000
-47.2	6.4e-10	4.1e-09	1.0e+00	-0.000	0	0.000
-47.1	7.3e-10	4.8e-09	1.0e+00	-0.000	0	0.000
-47.0	1.0e-09	5.8e-09	1.0e+00	-0.000	0	0.000
-46.9	1.1e-09	6.9e-09	1.0e+00	-0.000	0	0.000
-46.8	1.3e-09	8.2e-09	1.0e+00	-0.000	0	0.000
-46.7	1.3e-09	9.5e-09	1.0e+00	-0.000	0	0.000
-46.6	1.7e-09	1.1e-08	1.0e+00	-0.000	0	0.000
-46.5	2.1e-09	1.3e-08	1.0e+00	-0.000	0	0.000
-46.4	2.2e-09	1.5e-08	1.0e+00	-0.000	0	0.000
-46.3	2.3e-09	1.8e-08	1.0e+00	-0.000	0	0.000
-46.2	2.9e-09	2.1e-08	1.0e+00	-0.000	0	0.000
-46.1	3.3e-09	2.4e-08	1.0e+00	-0.000	0	0.000
-46.0	4.2e-09	2.8e-08	1.0e+00	-0.000	0	0.000
-45.9	4.5e-09	3.3e-08	1.0e+00	-0.000	0	0.000
-45.8	5.1e-09	3.8e-08	1.0e+00	-0.000	0	0.000
