#key	matrix-quality_2018-03-21.175002_LexA.RegulonDB2012_score_distrib_CRP_binding_sites_nwd.tab	matrix-quality_2018-03-21.175002_CRP.RegulonDB2012_score_distrib_CRP_binding_sites_nwd.tab
0.00014	0.13	<NULL>
0.00031	<NULL>	0.313636363636364
0.00057	0.02	<NULL>
0.00062	<NULL>	0.331818181818182
0.00071	0.025	<NULL>
0.0011	0.005	0.336363636363636
0.0012	<NULL>	0.336363636363636
0.0013	0.015	<NULL>
0.0014	-0.005	0.340909090909091
0.0016	0	<NULL>
0.0017	0	<NULL>
0.0018	0	<NULL>
0.002	-0.015	<NULL>
0.0022	<NULL>	0.363636363636364
0.0026	0	0.354545454545454
0.0027	-0.01	<NULL>
0.003	-0.01	0.359090909090909
0.0033	-0.01	<NULL>
0.004	<NULL>	0.35
0.0044	0	<NULL>
0.0054	-0.01	<NULL>
0.0061	-0.005	<NULL>
0.0067	-0.005	<NULL>
0.0068	<NULL>	0.340909090909091
0.007	-0.005	<NULL>
0.0078	<NULL>	0.340909090909091
0.0084	-0.005	<NULL>
0.01	0	0.331818181818182
0.011	0	0.331818181818182
0.012	0	0.331818181818182
0.013	0	0.327272727272727
0.014	-0.005	0.318181818181818
0.015	0	0.318181818181818
0.016	0	<NULL>
0.017	0	0.318181818181818
0.018	-0.00499999999999998	0.313636363636364
0.019	-0.005	0.313636363636364
0.02	-0.01	0.304545454545455
0.021	-0.01	0.304545454545455
0.022	-0.01	<NULL>
0.023	-0.00999999999999996	0.3
0.024	-0.01	0.286363636363636
0.025	-0.01	0.281818181818182
0.026	-0.01	<NULL>
0.027	<NULL>	0.272727272727273
0.028	-0.00999999999999996	0.268181818181818
0.029	<NULL>	0.263636363636364
0.03	-0.00500000000000003	<NULL>
0.031	-0.01	0.25
0.032	-0.01	<NULL>
0.033	-0.00999999999999996	0.231818181818182
0.034	-0.01	0.227272727272727
0.036	-0.015	0.209090909090909
0.037	-0.015	<NULL>
0.038	-0.015	0.190909090909091
0.039	-0.015	<NULL>
0.04	<NULL>	0.177272727272727
0.041	-0.02	<NULL>
0.042	<NULL>	0.163636363636364
0.044	-0.02	0.154545454545455
0.046	<NULL>	0.145454545454545
0.048	-0.015	0.140909090909091
0.05	-0.015	<NULL>
0.051	<NULL>	0.127272727272727
0.053	-0.015	0.122727272727273
0.058	<NULL>	0.109090909090909
0.061	-0.02	0.104545454545455
0.063	-0.02	0.1
0.066	<NULL>	0.0954545454545455
0.067	-0.02	<NULL>
0.071	-0.02	<NULL>
0.073	-0.02	<NULL>
0.075	-0.02	0.0818181818181818
0.077	-0.02	<NULL>
0.079	-0.02	0.0772727272727273
0.082	-0.02	<NULL>
0.085	<NULL>	0.0727272727272727
0.087	-0.02	<NULL>
0.089	<NULL>	0.0681818181818182
0.096	<NULL>	0.0636363636363636
0.097	-0.0199999999999999	<NULL>
0.1	-0.025	0.0590909090909091
0.11	-0.025	0.0590909090909091
0.12	-0.02	0.0454545454545455
0.13	-0.0199999999999999	0.0409090909090909
0.14	-0.02	0.0409090909090909
0.15	-0.02	0.0318181818181818
0.16	-0.025	0.0318181818181818
0.17	-0.02	0.0272727272727273
0.18	-0.02	0.0227272727272727
0.19	-0.0149999999999999	0.0227272727272727
0.2	-0.015	0.0227272727272727
0.21	-0.0149999999999999	0.0181818181818182
0.22	-0.015	0.0181818181818182
0.23	-0.0149999999999999	0.0136363636363636
0.24	-0.015	0.0136363636363636
0.25	-0.015	0.0090909090909091
0.26	-0.0149999999999999	0.00909090909090906
0.27	-0.015	0.00454545454545457
0.28	-0.02	0.00454545454545453
0.29	-0.02	0.00454545454545453
0.3	-0.02	0.00454545454545453
0.31	-0.0199999999999999	0.00454545454545453
0.32	-0.015	0
0.33	-0.015	-0.00454545454545453
0.34	-0.0149999999999999	-0.00454545454545457
0.35	-0.015	0
0.36	-0.015	-0.00454545454545453
0.37	-0.0149999999999999	-0.00454545454545453
0.38	-0.015	-0.0090909090909091
0.39	-0.0100000000000001	-0.00454545454545457
0.4	-0.0149999999999999	-0.00909090909090906
0.41	-0.015	-0.00909090909090906
0.42	-0.015	-0.00909090909090914
0.43	-0.00999999999999996	-0.0136363636363637
0.44	-0.0149999999999999	-0.00909090909090906
0.45	-0.0149999999999999	-0.00909090909090906
0.46	-0.00999999999999996	-0.00909090909090914
0.47	-0.0100000000000001	-0.00909090909090914
0.48	-0.00999999999999996	-0.0136363636363636
0.49	-0.00999999999999996	-0.0136363636363636
0.5	-0.0100000000000001	-0.00909090909090914
0.51	-0.00499999999999989	-0.0136363636363637
0.52	-0.00500000000000007	-0.0136363636363636
0.53	0	-0.0136363636363636
0.54	-0.00500000000000007	-0.0136363636363637
0.55	0	-0.0136363636363637
0.56	-0.00499999999999989	-0.0136363636363636
0.57	0	-0.0136363636363636
0.58	-0.00499999999999989	-0.0136363636363637
0.59	-0.00499999999999989	-0.0136363636363637
0.6	-0.00500000000000007	-0.00909090909090906
0.61	-0.00499999999999989	-0.00909090909090906
0.62	0	-0.0136363636363637
0.63	-0.00500000000000007	-0.0136363636363637
0.64	0	-0.0136363636363636
0.65	0	-0.0136363636363636
0.66	-0.00500000000000007	-0.0136363636363637
0.67	0	-0.0181818181818182
0.68	0	-0.0136363636363636
0.69	0	-0.0136363636363636
0.7	0	-0.0181818181818182
0.71	0	-0.0136363636363637
0.72	0	-0.0136363636363636
0.73	0	-0.0136363636363637
0.74	0.00500000000000007	-0.0136363636363637
0.75	0	-0.00909090909090906
0.76	0	-0.0136363636363636
0.77	0.00499999999999989	-0.00909090909090914
0.78	0	-0.0136363636363637
0.79	0	-0.00909090909090906
0.8	0	-0.00909090909090914
0.81	0	-0.00909090909090914
0.82	0	-0.00909090909090906
0.83	0	-0.00909090909090914
0.84	0.00499999999999989	-0.00909090909090906
0.85	0	-0.00909090909090906
0.86	0.00499999999999989	-0.00909090909090914
0.87	0.00499999999999989	-0.00909090909090906
0.88	0.00999999999999996	-0.00454545454545461
0.89	0.00999999999999996	-0.00454545454545453
0.9	0.00500000000000007	-0.00454545454545461
0.91	0	0
0.92	0.00500000000000007	0
0.93	0.00999999999999996	0
0.94	0.0100000000000001	0
0.95	0.015	0
0.96	0.015	0.00454545454545445
0.97	0.025	0.00454545454545461
0.98	0.025	0.00454545454545445
0.99	0.0299999999999999	0.00454545454545445
1	0.0550000000000001	-0.0227272727272727
