#key	matrix-quality_2018-03-21.175002_LexA.RegulonDB2012_score_distrib_LexA_peaks_nwd.tab	matrix-quality_2018-03-21.175002_CRP.RegulonDB2012_score_distrib_LexA_peaks_nwd.tab
0.00014	0.57	0
0.00021	0.57	0.00454545454545453
0.00028	<NULL>	0.0136363636363637
0.00035	0.555	<NULL>
0.00062	<NULL>	-0.00454545454545457
0.00076	0.515	<NULL>
0.001	0.44	-0.00909090909090906
0.0011	0.42	-0.0181818181818182
0.0012	0.415	-0.0227272727272727
0.0013	0.39	-0.0227272727272727
0.0014	0.375	-0.0227272727272727
0.0015	0.29	-0.0227272727272727
0.0017	0.215	<NULL>
0.0018	0.175	<NULL>
0.0019	0.165	-0.0136363636363636
0.002	0.15	<NULL>
0.0021	0.115	<NULL>
0.0022	0.115	-0.0090909090909091
0.0023	0.11	<NULL>
0.0024	<NULL>	-0.0090909090909091
0.0025	0.095	<NULL>
0.0026	0.09	-0.0136363636363636
0.0028	<NULL>	-0.0181818181818182
0.0029	0.08	<NULL>
0.003	0.08	<NULL>
0.0032	0.07	-0.0136363636363636
0.0035	0.05	-0.0181818181818182
0.0037	0.05	<NULL>
0.004	<NULL>	-0.0136363636363636
0.0044	0.05	<NULL>
0.0049	0.04	<NULL>
0.0054	0.035	<NULL>
0.0056	<NULL>	-0.0136363636363636
0.0059	0.035	<NULL>
0.0061	0.035	<NULL>
0.007	0.025	<NULL>
0.0073	0.025	<NULL>
0.008	0.02	<NULL>
0.0088	0.02	<NULL>
0.0091	0.02	<NULL>
0.01	0.02	<NULL>
0.011	0.015	-0.0181818181818182
0.012	0.01	-0.0136363636363636
0.013	0.015	-0.0181818181818182
0.014	0.02	-0.0181818181818182
0.015	0.015	-0.0181818181818182
0.016	0.00999999999999999	-0.0181818181818182
0.017	0.01	-0.0181818181818182
0.018	0.005	-0.0181818181818182
0.019	0.005	-0.0181818181818182
0.02	0.005	-0.0181818181818182
0.021	0.00499999999999998	<NULL>
0.022	0.00499999999999998	<NULL>
0.023	0.00500000000000003	-0.0181818181818182
0.024	0.00499999999999998	-0.0181818181818182
0.025	0	-0.0181818181818182
0.027	0.00499999999999998	<NULL>
0.028	0	-0.0181818181818182
0.029	0	<NULL>
0.03	0	<NULL>
0.031	0	-0.0181818181818182
0.032	0	<NULL>
0.033	0	-0.0181818181818182
0.034	0	<NULL>
0.036	-0.00500000000000003	<NULL>
0.037	-0.00499999999999998	<NULL>
0.038	-0.00500000000000003	-0.0181818181818182
0.04	<NULL>	-0.0181818181818182
0.041	-0.00499999999999998	<NULL>
0.042	-0.00500000000000003	-0.0181818181818182
0.044	<NULL>	-0.0181818181818182
0.045	-0.00500000000000003	<NULL>
0.046	<NULL>	-0.0181818181818182
0.047	-0.00499999999999998	<NULL>
0.05	-0.00500000000000003	<NULL>
0.052	-0.00499999999999998	<NULL>
0.053	-0.00500000000000003	-0.0181818181818182
0.055	-0.00499999999999998	-0.0181818181818182
0.057	-0.00499999999999998	<NULL>
0.059	-0.01	<NULL>
0.061	-0.01	<NULL>
0.063	-0.01	<NULL>
0.067	-0.01	<NULL>
0.071	-0.01	<NULL>
0.073	-0.01	<NULL>
0.079	-0.0100000000000001	<NULL>
0.092	-0.015	<NULL>
0.093	<NULL>	-0.0227272727272727
0.097	-0.0149999999999999	<NULL>
0.1	-0.02	-0.0227272727272727
0.11	-0.02	-0.0181818181818182
0.12	-0.02	-0.0227272727272727
0.13	-0.0149999999999999	-0.0227272727272727
0.14	-0.02	-0.0227272727272727
0.15	-0.02	-0.0272727272727273
0.16	-0.02	-0.0181818181818182
0.17	-0.02	-0.0227272727272727
0.18	-0.02	-0.0227272727272727
0.19	-0.0149999999999999	-0.0227272727272727
0.2	-0.02	-0.0227272727272727
0.21	-0.025	-0.0227272727272727
0.22	-0.02	-0.0227272727272727
0.23	-0.0199999999999999	-0.0227272727272727
0.24	-0.025	-0.0227272727272727
0.25	-0.025	-0.0272727272727273
0.26	-0.025	-0.0227272727272727
0.27	-0.025	-0.0227272727272727
0.28	-0.0300000000000001	-0.0272727272727273
0.29	-0.03	-0.0227272727272727
0.3	-0.025	-0.0272727272727273
0.31	-0.025	-0.0227272727272727
0.32	-0.025	-0.0227272727272727
0.33	-0.025	-0.0272727272727273
0.34	-0.025	-0.0272727272727273
0.35	-0.025	-0.0227272727272727
0.36	-0.025	-0.0272727272727273
0.37	-0.03	-0.0272727272727273
0.38	-0.03	-0.0272727272727273
0.39	-0.0300000000000001	-0.0227272727272728
0.4	-0.03	-0.0227272727272727
0.41	-0.0300000000000001	-0.0272727272727273
0.42	-0.0350000000000001	-0.0272727272727273
0.43	-0.0299999999999999	-0.0272727272727273
0.44	-0.0350000000000001	-0.0227272727272727
0.45	-0.035	-0.0272727272727273
0.46	-0.0299999999999999	-0.0272727272727273
0.47	-0.0350000000000001	-0.0272727272727273
0.48	-0.035	-0.0272727272727273
0.49	-0.035	-0.0318181818181818
0.5	-0.0350000000000001	-0.0272727272727273
0.51	-0.0299999999999999	-0.0272727272727273
0.52	-0.035	-0.0272727272727273
0.53	-0.0300000000000001	-0.0318181818181818
0.54	-0.035	-0.0318181818181818
0.55	-0.0300000000000001	-0.0272727272727273
0.56	-0.035	-0.0272727272727273
0.57	-0.0300000000000001	-0.0272727272727273
0.58	-0.035	-0.0318181818181818
0.59	-0.035	-0.0318181818181819
0.6	-0.0350000000000001	-0.0272727272727273
0.61	-0.035	-0.0272727272727273
0.62	-0.0299999999999999	-0.0318181818181818
0.63	-0.0350000000000001	-0.0318181818181819
0.64	-0.035	-0.0272727272727273
0.65	-0.0299999999999999	-0.0272727272727273
0.66	-0.0350000000000001	-0.0318181818181818
0.67	-0.035	-0.0318181818181819
0.68	-0.0299999999999999	-0.0318181818181818
0.69	-0.0350000000000001	-0.0318181818181818
0.7	-0.035	-0.0318181818181818
0.71	-0.035	-0.0318181818181819
0.72	-0.04	-0.0318181818181818
0.73	-0.0399999999999999	-0.0318181818181818
0.74	-0.04	-0.0318181818181819
0.75	-0.04	-0.0318181818181818
0.76	-0.04	-0.0318181818181818
0.77	-0.04	-0.0318181818181819
0.78	-0.0399999999999999	-0.0318181818181819
0.79	-0.04	-0.0318181818181818
0.8	-0.04	-0.0318181818181819
0.81	-0.04	-0.0363636363636364
0.82	-0.04	-0.0363636363636363
0.83	-0.035	-0.0363636363636364
0.84	-0.04	-0.0363636363636363
0.85	-0.0399999999999999	-0.0318181818181818
0.86	-0.04	-0.0318181818181819
0.87	-0.035	-0.0318181818181818
0.88	-0.035	-0.0318181818181819
0.89	-0.035	-0.0363636363636363
0.9	-0.035	-0.0363636363636364
0.91	-0.04	-0.0318181818181818
0.92	-0.04	-0.0363636363636364
0.93	-0.035	-0.0363636363636362
0.94	-0.0399999999999999	-0.0363636363636364
0.95	-0.035	-0.0363636363636364
0.96	-0.035	-0.0318181818181819
0.97	-0.0350000000000001	-0.0318181818181818
0.98	-0.04	-0.0318181818181818
0.99	-0.04	-0.0272727272727273
1	-0.0399999999999999	-0.0363636363636364
