#ref_id	ref_org	query	query_name	query_organism	ident	e_value
SCL_RS08575	Sulfuricaulis_limicola_GCF_002355735.1_ASM235573v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.92	1e-169
SVA_RS07065	Sulfurifustis_variabilis_GCF_002355415.1_ASM235541v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	71.69	8e-165
BOQ57_RS19525	Aeromonas_aquatica_GCF_001895965.1_ASM189596v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
CK627_RS00800	Aeromonas_dhakensis_GCF_002285935.1_ASM228593v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.64	0.0
AHA_3716	Aeromonas_hydrophila_GCF_000014805.1_ASM1480v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
AHML_RS19850	Aeromonas_hydrophila_GCF_000401555.1_ASM40155v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
AH4AK4_RS02450	Aeromonas_hydrophila_GCF_000512185.1_ASM51218v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	77.94	0.0
AI20_RS02060	Aeromonas_hydrophila_GCF_000612075.2_ASM61207v2	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.64	0.0
V428_RS19870	Aeromonas_hydrophila_GCF_000633175.1_ASM63317v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
V429_RS19840	Aeromonas_hydrophila_GCF_000635955.1_ASM63595v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
V469_RS02860	Aeromonas_hydrophila_GCF_000819505.1_ASM81950v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
RY45_RS19250	Aeromonas_hydrophila_GCF_000940915.1_ASM94091v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
VU14_RS03115	Aeromonas_hydrophila_GCF_000963645.1_ASM96364v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
U876_RS02840	Aeromonas_hydrophila_GCF_001019645.1_ASM101964v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
AS145_RS03100	Aeromonas_hydrophila_GCF_001455365.1_ASM145536v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
AhyD4_RS03090	Aeromonas_hydrophila_GCF_001518775.1_ASM151877v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
A9258_RS02900	Aeromonas_hydrophila_GCF_001683535.1_ASM168353v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
TK34_RS03200	Aeromonas_hydrophila_GCF_001687125.1_ASM168712v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.92	0.0
B224_RS16720	Aeromonas_media_GCF_000287215.2_ASM28721v3	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	79.88	0.0
ASA_RS18895	Aeromonas_salmonicida_GCF_000196395.1_ASM19639v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	76.20	0.0
CE456_RS20550	Aeromonas_salmonicida_GCF_002214245.1_ASM221424v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	76.20	0.0
CE462_RS19495	Aeromonas_salmonicida_GCF_002214265.1_ASM221426v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	76.20	0.0
CE463_RS20545	Aeromonas_salmonicida_GCF_002214305.1_ASM221430v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	76.20	0.0
BHG40_RS00850	Aeromonas_salmonicida_GCF_002313065.1_ASM231306v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	76.20	0.0
Asalp_RS02705	Aeromonas_salmonicida_GCF_002735225.1_ASM273522v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	76.20	0.0
CHQ57_RS19280	Aeromonas_salmonicida_GCF_002764135.1_ASM276413v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.85	0.0
WL1483_RS02700	Aeromonas_schubertii_GCF_001447335.1_ASM144733v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	76.79	0.0
CK910_RS08180	Aeromonas_sp._CA23_GCF_002587065.1_ASM258706v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	76.20	0.0
CK911_RS14575	Aeromonas_sp._CU5_GCF_002586745.1_ASM258674v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	78.87	0.0
O23A_RS20785	Aeromonas_sp._O23A_GCF_002180335.1_ASM218033v1	b2699	recA	Escherichia_coli_GCF_000005845.2_ASM584v2	76.20	0.0
