#ref_id	ref_org	query	query_name	query_organism	ident	e_value
SCL_RS02160	Sulfuricaulis_limicola_GCF_002355735.1_ASM235573v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	60.10	1e-83
SVA_RS03660	Sulfurifustis_variabilis_GCF_002355415.1_ASM235541v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	63.59	4e-86
BOQ57_RS00785	Aeromonas_aquatica_GCF_001895965.1_ASM189596v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
CK627_RS04675	Aeromonas_dhakensis_GCF_002285935.1_ASM228593v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
AHA_0183	Aeromonas_hydrophila_GCF_000014805.1_ASM1480v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
AHML_RS00975	Aeromonas_hydrophila_GCF_000401555.1_ASM40155v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
AH4AK4_RS00490	Aeromonas_hydrophila_GCF_000512185.1_ASM51218v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.60	1e-105
AI20_RS06030	Aeromonas_hydrophila_GCF_000612075.2_ASM61207v2	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
V428_RS00980	Aeromonas_hydrophila_GCF_000633175.1_ASM63317v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
V429_RS00975	Aeromonas_hydrophila_GCF_000635955.1_ASM63595v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
V469_RS21705	Aeromonas_hydrophila_GCF_000819505.1_ASM81950v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
RY45_RS01200	Aeromonas_hydrophila_GCF_000940915.1_ASM94091v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
VU14_RS21570	Aeromonas_hydrophila_GCF_000963645.1_ASM96364v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
U876_RS22280	Aeromonas_hydrophila_GCF_001019645.1_ASM101964v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
AS145_RS22435	Aeromonas_hydrophila_GCF_001455365.1_ASM145536v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
AhyD4_RS22205	Aeromonas_hydrophila_GCF_001518775.1_ASM151877v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
A9258_RS21340	Aeromonas_hydrophila_GCF_001683535.1_ASM168353v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
TK34_RS21315	Aeromonas_hydrophila_GCF_001687125.1_ASM168712v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	4e-105
B224_RS20295	Aeromonas_media_GCF_000287215.2_ASM28721v3	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.60	1e-105
ASA_RS20825	Aeromonas_salmonicida_GCF_000196395.1_ASM19639v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	6e-110
CE456_RS02550	Aeromonas_salmonicida_GCF_002214245.1_ASM221424v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	6e-110
CE462_RS01475	Aeromonas_salmonicida_GCF_002214265.1_ASM221426v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	6e-110
CE463_RS02580	Aeromonas_salmonicida_GCF_002214305.1_ASM221430v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	6e-110
BHG40_RS03620	Aeromonas_salmonicida_GCF_002313065.1_ASM231306v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	6e-110
Asalp_RS00530	Aeromonas_salmonicida_GCF_002735225.1_ASM273522v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	7e-110
CHQ57_RS00580	Aeromonas_salmonicida_GCF_002764135.1_ASM276413v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	6e-110
WL1483_RS20540	Aeromonas_schubertii_GCF_001447335.1_ASM144733v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	73.43	1e-110
CK910_RS04120	Aeromonas_sp._CA23_GCF_002587065.1_ASM258706v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.46	2e-105
CK911_RS16555	Aeromonas_sp._CU5_GCF_002586745.1_ASM258674v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	73.91	1e-106
O23A_RS17070	Aeromonas_sp._O23A_GCF_002180335.1_ASM218033v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	7e-110
B565_RS19765	Aeromonas_veronii_GCF_000204115.1_ASM20411v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	2e-105
AMS64_RS01245	Aeromonas_veronii_GCF_001593245.1_ASM159324v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	2e-105
WM43_RS11850	Aeromonas_veronii_GCF_001634325.1_ASM163432v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.95	2e-105
CBP31_RS06570	Oceanisphaera_profunda_GCF_002157895.1_ASM215789v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.86	3e-112
CBP12_RS09305	Oceanisphaera_sp._AMac2203_GCF_002157875.1_ASM215787v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.91	2e-107
TOLA_RS00755	Tolumonas_auensis_GCF_000023065.1_ASM2306v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	72.82	2e-105
AN401_RS00870	Zobellella_denitrificans_GCF_002407485.1_ASM240748v1	b4043	lexA	Escherichia_coli_GCF_000005845.2_ASM584v2	75.12	2e-108
